,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
94,58962.238935,g,20.767,0.267,positive,,
99,58954.309201,g,20.51,0.245,positive,,
102,58954.289398,g,20.93,0.273,positive,,
124,58936.301481,g,20.688,0.238,positive,,
125,58936.277269,g,20.566,0.349,positive,,
126,58936.276817,g,20.519,0.205,positive,,
127,58936.274086,g,20.656,0.223,positive,,
130,58914.451204,g,20.312,0.291,positive,,
139,58913.324884,g,20.217,0.295,positive,,
140,58913.322072,g,20.045,0.211,positive,,
141,58913.305255,g,19.898,0.187,positive,,
142,58913.300625,g,20.148,0.254,positive,,
143,58912.511655,g,20.033,0.171,positive,,
144,58912.511204,g,20.083,0.218,positive,,
148,58912.284549,g,20.147,0.227,positive,,
149,58912.259016,g,20.11,0.266,positive,,
152,58911.408333,g,19.997,0.183,positive,,
153,58911.407882,g,19.871,0.252,positive,,
154,58911.407396,g,19.96,0.151,positive,,
165,58908.324688,g,19.944,0.187,positive,,
167,58908.322407,g,20.104,0.257,positive,,
173,58906.324618,g,20.102,0.277,positive,,
174,58906.299907,g,19.993,0.16,positive,,
175,58906.296088,g,20.145,0.301,positive,,
176,58905.30375,g,19.905,0.242,positive,,
177,58905.302373,g,20.23,0.347,positive,,
178,58905.284468,g,20.166,0.263,positive,,
179,58905.283067,g,20.029,0.207,positive,,
183,58904.433796,g,20.078,0.255,positive,,
184,58904.432894,g,19.902,0.266,positive,,
186,58904.305023,g,19.985,0.144,positive,,
193,58903.363727,g,20.187,0.221,positive,,
194,58903.363241,g,20.059,0.167,positive,,
195,58903.347847,g,20.143,0.196,positive,,
204,58900.387893,g,19.952,0.152,positive,,
205,58900.347836,g,19.92,0.165,positive,,
206,58900.344144,g,19.944,0.163,positive,,
207,58900.323947,g,20.031,0.157,positive,,
210,58899.412569,g,19.932,0.177,positive,,
211,58899.389711,g,20.154,0.148,positive,,
212,58899.386528,g,19.75,0.15,positive,,
213,58899.386076,g,19.916,0.15,positive,,
218,58898.428692,g,19.926,0.131,positive,,
219,58898.389502,g,19.963,0.121,positive,,
