,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
89,58962.289803,r,20.23,0.206,positive,,
90,58962.285694,r,20.442,0.227,positive,,
91,58962.284271,r,20.348,0.208,positive,,
97,58956.289606,r,20.333,0.236,positive,,
103,58954.269387,r,20.308,0.26,positive,,
104,58954.242627,r,20.63,0.358,positive,,
105,58954.242188,r,20.284,0.229,positive,,
120,58936.426667,r,19.917,0.186,positive,,
121,58936.423449,r,20.02,0.155,positive,,
122,58936.407847,r,19.972,0.178,positive,,
123,58936.405232,r,20.128,0.186,positive,,
128,58915.390868,r,19.735,0.221,positive,,
129,58915.389514,r,19.817,0.239,positive,,
131,58914.386007,r,19.803,0.239,positive,,
132,58914.385556,r,19.555,0.207,positive,,
133,58914.364132,r,19.641,0.203,positive,,
134,58914.363681,r,19.567,0.198,positive,,
135,58913.469016,r,19.684,0.171,positive,,
136,58913.454224,r,19.591,0.158,positive,,
137,58913.453727,r,19.51,0.17,positive,,
138,58913.433912,r,19.663,0.253,positive,,
145,58912.478472,r,19.615,0.137,positive,,
146,58912.456528,r,19.653,0.146,positive,,
147,58912.431435,r,19.554,0.123,positive,,
150,58911.469259,r,19.546,0.19,positive,,
151,58911.468808,r,19.552,0.143,positive,,
161,58908.467708,r,19.702,0.141,positive,,
162,58908.466759,r,19.621,0.142,positive,,
163,58908.466759,r,19.621,0.142,positive,,
164,58908.444549,r,19.563,0.122,positive,,
168,58906.46684,r,19.569,0.131,positive,,
170,58906.464525,r,19.493,0.14,positive,,
171,58906.455104,r,19.374,0.192,positive,,
180,58905.22044,r,19.466,0.187,positive,,
181,58904.515961,r,19.514,0.137,positive,,
182,58904.485776,r,19.372,0.119,positive,,
189,58903.405984,r,19.403,0.101,positive,,
190,58903.405544,r,19.54,0.123,positive,,
191,58903.386331,r,19.405,0.11,positive,,
192,58903.384977,r,19.435,0.114,positive,,
197,58901.407975,r,19.426,0.128,positive,,
198,58901.394757,r,19.395,0.122,positive,,
199,58901.392014,r,19.507,0.139,positive,,
200,58901.391528,r,19.441,0.115,positive,,
201,58900.42625,r,19.169,0.268,positive,,
202,58900.424896,r,19.503,0.16,positive,,
203,58900.407384,r,19.367,0.125,positive,,
208,58900.264282,r,19.386,0.12,positive,,
209,58899.474236,r,19.443,0.136,positive,,
214,58899.348356,r,19.409,0.108,positive,,
215,58899.346516,r,19.419,0.109,positive,,
216,58899.345162,r,19.475,0.125,positive,,
217,58898.468056,r,19.391,0.126,positive,,
222,58898.368819,r,19.383,0.077,positive,,
223,58898.365069,r,19.482,0.127,positive,,
224,58898.364583,r,19.455,0.092,positive,,
225,58895.453102,r,19.414,0.132,positive,,
226,58895.452616,r,19.459,0.13,positive,,
227,58895.452164,r,19.228,0.102,positive,,
231,58894.507014,r,19.286,0.102,positive,,
232,58894.506528,r,19.262,0.125,positive,,
233,58894.476678,r,19.361,0.11,positive,,
237,58893.511435,r,19.406,0.13,positive,,
243,58893.319201,r,19.304,0.134,positive,,
244,58893.315937,r,19.37,0.136,positive,,
245,58893.30103,r,19.412,0.119,positive,,
246,58893.300579,r,19.34,0.111,positive,,
247,58893.300127,r,19.414,0.129,positive,,
248,58893.299676,r,19.218,0.129,positive,,
253,58892.323843,r,19.279,0.149,positive,,
255,58892.322905,r,19.313,0.141,positive,,
256,58891.489803,r,19.216,0.15,positive,,
259,58891.325324,r,19.233,0.132,positive,,
268,58890.449745,r,19.245,0.225,positive,,
269,58890.447465,r,19.18,0.193,positive,,
271,58890.431065,r,19.154,0.239,positive,,
272,58890.430162,r,19.263,0.247,positive,,
273,58890.429711,r,19.105,0.237,positive,,
274,58890.402755,r,19.22,0.162,positive,,
275,58888.46728,r,19.482,0.254,positive,,
276,58888.428819,r,19.197,0.243,positive,,
277,58888.428368,r,19.287,0.244,positive,,
280,58887.492477,r,19.284,0.155,positive,,
281,58887.491574,r,19.091,0.167,positive,,
287,58886.531609,r,19.243,0.149,positive,,
288,58886.530266,r,19.226,0.131,positive,,
289,58886.512812,r,19.26,0.16,positive,,
295,58886.304653,r,19.253,0.209,positive,,
296,58886.303148,r,19.134,0.139,positive,,
297,58885.533947,r,19.252,0.104,positive,,
298,58885.510764,r,19.146,0.111,positive,,
302,58885.23684,r,19.225,0.241,positive,,
303,58884.509803,r,19.055,0.168,positive,,
304,58884.507025,r,19.074,0.237,positive,,
305,58884.506053,r,19.076,0.19,positive,,
306,58884.505093,r,19.229,0.145,positive,,
307,58884.485648,r,19.189,0.13,positive,,
313,58883.530139,r,19.126,0.157,positive,,
314,58883.529155,r,19.198,0.136,positive,,
315,58883.528681,r,19.231,0.154,positive,,
316,58883.527708,r,19.208,0.176,positive,,
317,58883.509086,r,19.276,0.174,positive,,
323,58881.532546,r,19.069,0.096,positive,,
329,58881.363484,r,19.073,0.1,positive,,
330,58881.361644,r,19.11,0.093,positive,,
331,58881.34434,r,19.158,0.101,positive,,
332,58881.343854,r,19.151,0.104,positive,,
333,58880.512442,r,19.134,0.091,positive,,
