,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
1,58683.17794,g,19.926,0.315,positive,,
2,58680.174757,g,19.277,0.283,positive,,
4,58677.172859,g,19.867,0.325,positive,,
6,58674.202512,g,19.904,0.32,positive,,
7,58670.207604,g,20.167,0.35,positive,,
8,58666.204676,g,19.859,0.193,positive,,
10,58661.22897,g,19.665,0.235,positive,,
12,58658.206655,g,19.86,0.153,positive,,
15,58650.187882,g,19.71,0.339,positive,,
18,58642.196053,g,19.508,0.136,positive,,
19,58642.166701,g,19.639,0.227,positive,,
21,58636.253576,g,19.503,0.151,positive,,
24,58628.189479,g,19.493,0.144,positive,,
26,58612.253229,g,19.269,0.109,positive,,
28,58609.210301,g,19.263,0.107,positive,,
33,58600.231343,g,19.129,0.12,positive,,
36,58596.231551,g,19.161,0.188,positive,,
46,58580.297083,g,18.948,0.089,positive,,
48,58575.313819,g,18.839,0.127,positive,,
49,58572.333692,g,18.902,0.161,positive,,
53,58567.293241,g,18.774,0.148,positive,,
55,58560.273206,g,18.777,0.157,positive,,
58,58541.41853,g,18.593,0.129,positive,,
60,58538.399491,g,18.76,0.237,positive,,
63,58526.456331,g,18.444,0.077,positive,,
66,58522.460278,g,18.385,0.077,positive,,
68,58511.461956,g,18.241,0.069,positive,,
69,58507.48838,g,18.104,0.088,positive,,
70,58506.519988,g,18.164,0.132,positive,,
72,58503.541389,g,18.204,0.096,positive,,
74,58502.499514,g,18.204,0.093,positive,,
76,58494.50559,g,18.049,0.058,positive,,
79,58491.497431,g,18.042,0.066,positive,,
83,58471.504549,g,17.882,0.058,positive,,
85,58465.548634,g,17.844,0.07,positive,,
