,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
0,58692.166678,r,19.353,0.197,positive,,
3,58677.19353,r,19.314,0.182,positive,,
9,58666.176111,r,19.098,0.154,positive,,
11,58661.195046,r,19.003,0.109,positive,,
13,58658.176343,r,18.953,0.115,positive,,
14,58653.185694,r,19.011,0.122,positive,,
16,58647.23397,r,18.687,0.12,positive,,
17,58642.224676,r,18.777,0.079,positive,,
20,58639.174375,r,18.639,0.092,positive,,
22,58633.205301,r,18.542,0.073,positive,,
23,58628.3014,r,18.396,0.082,positive,,
25,58616.167974,r,18.265,0.082,positive,,
27,58612.249734,r,18.209,0.088,positive,,
29,58606.210382,r,18.105,0.081,positive,,
31,58602.255359,r,18.048,0.072,positive,,
32,58600.275683,r,17.99,0.058,positive,,
34,58597.24875,r,17.995,0.057,positive,,
35,58596.255995,r,17.951,0.071,positive,,
37,58593.321354,r,17.915,0.066,positive,,
38,58592.272245,r,17.778,0.095,positive,,
41,58586.331088,r,17.783,0.056,positive,,
42,58583.298715,r,17.759,0.061,positive,,
43,58582.250093,r,17.75,0.059,positive,,
44,58580.346597,r,17.725,0.056,positive,,
45,58580.315104,r,17.734,0.061,positive,,
47,58575.373611,r,17.695,0.11,positive,,
50,58572.297905,r,17.602,0.071,positive,,
52,58567.359514,r,17.549,0.06,positive,,
54,58560.35794,r,17.471,0.056,positive,,
56,58558.241551,r,17.447,0.061,positive,,
57,58557.395544,r,17.421,0.045,positive,,
59,58540.305706,r,17.237,0.043,positive,,
61,58538.337639,r,17.147,0.074,positive,,
62,58526.481759,r,17.079,0.054,positive,,
64,58524.45397,r,17.046,0.037,positive,,
65,58522.524201,r,17.013,0.055,positive,,
67,58511.541192,r,16.973,0.066,positive,,
71,58505.544201,r,16.914,0.046,positive,,
73,58502.542326,r,16.894,0.044,positive,,
75,58494.548507,r,16.857,0.054,positive,,
77,58493.477824,r,16.831,0.042,positive,,
78,58491.547512,r,16.818,0.035,positive,,
80,58486.503357,r,16.782,0.036,positive,,
81,58476.486944,r,16.705,0.035,positive,,
82,58474.483044,r,16.712,0.055,positive,,
84,58468.526377,r,16.678,0.031,positive,,
86,58465.519062,r,16.706,0.036,positive,,
88,58448.559873,r,16.474,0.04,positive,,
89,58448.513438,r,16.462,0.039,positive,,
