,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
0,58514.113669,r,17.409,0.054,positive,,
1,58507.241771,r,17.187,0.05,positive,,
3,58503.12838,r,17.02,0.05,positive,,
5,58491.219664,r,16.589,0.031,positive,,
7,58487.235232,r,16.38,0.033,positive,,
9,58481.311724,r,16.109,0.027,positive,,
11,58474.308646,r,15.927,0.031,positive,,
13,58469.212639,r,15.646,0.046,positive,,
16,58466.233796,r,15.403,0.033,positive,,
17,58462.273148,r,15.183,0.025,positive,,
19,58456.254525,r,15.121,0.032,positive,,
20,58456.220035,r,15.087,0.026,positive,,
21,58450.314294,r,15.093,0.066,positive,,
22,58447.353785,r,14.587,0.018,positive,,
