,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
2,58661.228067,g,19.996,0.169,positive,,
4,58658.205752,g,19.855,0.131,positive,,
9,58649.174803,g,19.65,0.264,positive,,
11,58646.189942,g,19.384,0.19,positive,,
13,58642.198333,g,19.441,0.12,positive,,
15,58636.249653,g,19.304,0.121,positive,,
17,58633.228681,g,19.049,0.11,positive,,
20,58628.192651,g,18.821,0.085,positive,,
21,58619.251655,g,17.692,0.078,positive,,
24,58612.254595,g,17.279,0.044,positive,,
26,58609.211667,g,17.478,0.045,positive,,
