,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
0,58679.202894,r,19.035,0.184,positive,,
1,58667.228599,r,18.542,0.122,positive,,
3,58661.197998,r,18.249,0.075,positive,,
5,58658.179063,r,18.18,0.066,positive,,
7,58652.275637,r,17.888,0.08,positive,,
8,58649.217558,r,17.743,0.052,positive,,
10,58646.226007,r,17.561,0.058,positive,,
12,58642.223773,r,17.476,0.044,positive,,
14,58639.175324,r,17.397,0.047,positive,,
16,58636.20647,r,17.18,0.045,positive,,
18,58633.201655,r,17.07,0.042,positive,,
19,58628.301852,r,16.778,0.042,positive,,
22,58619.19441,r,16.059,0.039,positive,,
25,58612.211157,r,16.069,0.036,positive,,
28,58606.20662,r,15.82,0.031,positive,,
