MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
60509.40875,g,18.233,0.069,positive,,
60505.446528,g,20.684,,limit,2.5,2.5
60502.451238,g,20.584,,limit,-0.5,2.7
60494.452245,g,20.651,,limit,-1.7,2.7
60488.45566,g,20.165,,limit,4.9,4.0
60485.450984,g,19.772,,limit,-4.0,6.0
60483.432268,g,19.337,,limit,11.0,8.2
60481.430012,g,19.655,,limit,-9.2,5.9
60479.453669,g,20.333,,limit,-0.4,3.3
59490.346748,g,18.566,0.082,positive,,
59488.263472,g,18.115,0.06,positive,,
59486.34088,g,17.965,0.076,positive,,
59484.35956,g,17.753,0.053,positive,,
59479.195336,g,19.168,,limit,,
59477.328819,g,19.38,,limit,,
59474.389248,g,20.231,,limit,,
59471.373507,g,20.572,,limit,,
59467.428287,g,20.802,,limit,,
59465.405718,g,20.796,,limit,,
59463.364074,g,20.832,,limit,,
59461.407535,g,20.897,,limit,,
59459.32375,g,20.906,,limit,,
59456.325995,g,20.448,,limit,,
59153.212998,g,19.079,0.137,positive,,
59151.19743,g,19.555,,limit,,
59149.25532,g,19.341,,limit,,
59146.3292,g,20.015,,limit,,
59144.32294,g,20.971,,limit,,
59142.19691,g,21.809,,limit,,
59140.20574,g,20.91,,limit,,
59138.23514,g,20.604,,limit,,
59136.34251,g,20.832,,limit,,
59134.24602,g,20.716,,limit,,
59129.3263,g,20.229,,limit,,
59127.24781,g,19.084,,limit,,
59126.24473,g,19.63,,limit,,
59125.23516,g,19.514,,limit,,
59123.38591,g,19.115,,limit,,
58493.161285,g,18.671,0.076,positive,,
58486.152535,g,17.843,0.046,positive,,
58482.14053,g,20.206,,limit,,
58468.29983,g,19.6,,limit,,
