MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
60505.402303,r,20.579,,limit,4.4,2.3
60502.388947,r,20.405,,limit,3.5,3.3
60494.374907,r,20.128,,limit,-3.4,4.0
60488.361192,r,19.928,,limit,1.9,4.5
60485.39088,r,19.736,,limit,-8.0,5.9
60483.36294,r,18.935,,limit,-1.9,10.8
60481.366447,r,19.319,,limit,7.4,8.2
59488.305312,r,18.096,0.052,positive,,
59486.288484,r,18.158,0.058,positive,,
59484.263982,r,18.033,0.055,positive,,
59479.2589,r,19.56,,limit,,
59477.236458,r,19.66,,limit,,
59474.288877,r,20.109,,limit,,
59471.428218,r,20.505,,limit,,
59469.392049,r,20.702,,limit,,
59467.38338,r,20.7,,limit,,
59465.350718,r,20.635,,limit,,
59463.32647,r,20.608,,limit,,
59461.368796,r,20.743,,limit,,
59459.365289,r,20.853,,limit,,
59153.323206,r,19.282,0.211,positive,,
59151.22919,r,19.813,,limit,,
59149.19823,r,19.397,,limit,,
59146.19286,r,19.567,,limit,,
59144.21529,r,20.641,,limit,,
59140.2426,r,20.687,,limit,,
59138.30897,r,20.544,,limit,,
59136.20698,r,20.639,,limit,,
59134.20319,r,20.521,,limit,,
59131.23694,r,20.616,,limit,,
59129.21767,r,20.25,,limit,,
59127.32611,r,17.684,,limit,,
59127.27525,r,18.384,,limit,,
59126.34198,r,19.691,,limit,,
59124.31214,r,19.574,,limit,,
59123.32816,r,19.23,,limit,,
58490.132072,r,18.397,0.064,positive,,
58474.13655,r,19.85,,limit,,
58471.13968,r,19.362,,limit,,
58464.26601,r,19.836,,limit,,
58456.17144,r,20.157,,limit,,
