,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
1,60434.274873,g,20.646,,limit,4.1,4.4
4,60432.275625,g,20.355,,limit,-2.7,5.3
5,60430.221482,g,20.392,,limit,-2.0,5.3
6,60424.336123,g,18.7,,limit,,
8,60419.27772,g,19.678,,limit,-7.0,8.9
10,60417.327812,g,19.865,,limit,7.0,7.1
13,60413.297917,g,20.435,,limit,4.2,6.0
15,60407.31544,g,20.337,,limit,-0.5,5.1
22,59204.4683,g,20.274,,limit,,
28,59189.50933,g,18.839,,limit,,
29,59187.52882,g,19.173,,limit,,
34,59180.50397,g,19.043,,limit,,
36,59026.21631,g,19.417,,limit,,
58,58969.23218,g,20.069,,limit,,
84,58835.54611,g,19.36,,limit,,
86,58830.56493,g,19.575,,limit,,
