,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
2,60434.254919,r,20.407,,limit,-10.0,6.2
3,60432.317454,r,20.169,,limit,3.9,8.5
7,60424.262257,r,18.922,,limit,-18.0,14.5
9,60419.251898,r,19.746,,limit,0.0,9.8
11,60417.299005,r,20.038,,limit,0.2,7.8
12,60413.361782,r,20.372,,limit,-0.2,6.4
14,60407.358252,r,20.243,,limit,6.3,7.3
21,59215.54222,r,19.295,,limit,,
23,59201.51442,r,19.956,,limit,,
25,59199.51938,r,19.778,,limit,,
26,59196.51126,r,19.728,,limit,,
33,59180.56088,r,19.069,,limit,,
38,59020.23544,r,20.297,,limit,,
45,59005.25414,r,19.428,,limit,,
48,58995.24731,r,20.332,,limit,,
50,58992.2324,r,20.432,,limit,,
57,58969.2948,r,17.043,,limit,,
60,58966.20832,r,17.826,,limit,,
85,58835.48177,r,18.872,,limit,,
