,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
18,59221.501134,g,19.793,0.228,positive,,
19,59218.478901,g,19.391,0.191,positive,,
24,59199.54294,g,19.574,0.179,positive,,
30,59185.511458,g,19.314,0.236,positive,,
31,59184.526713,g,19.472,0.306,positive,,
37,59023.213472,g,18.898,0.102,positive,,
39,59020.196863,g,18.804,0.079,positive,,
41,59017.216921,g,18.781,0.089,positive,,
42,59014.198461,g,18.619,0.087,positive,,
43,59009.231018,g,18.792,0.143,positive,,
47,58998.191782,g,19.031,0.102,positive,,
49,58995.199607,g,18.908,0.105,positive,,
51,58992.190868,g,18.873,0.091,positive,,
52,58986.189155,g,18.8,0.094,positive,,
53,58980.189074,g,18.618,0.074,positive,,
55,58972.251956,g,18.787,0.127,positive,,
59,58966.252569,g,18.655,0.135,positive,,
61,58963.270486,g,18.584,0.075,positive,,
62,58963.2236,g,18.668,0.085,positive,,
63,58955.29419,g,18.566,0.078,positive,,
69,58898.417662,g,18.034,0.058,positive,,
71,58894.334259,g,17.954,0.05,positive,,
73,58887.439213,g,17.75,0.063,positive,,
75,58884.459468,g,17.752,0.059,positive,,
76,58881.479919,g,17.699,0.048,positive,,
79,58872.438484,g,17.279,0.049,positive,,
80,58856.542732,g,16.079,0.026,positive,,
81,58853.503785,g,16.067,0.03,positive,,
82,58850.542974,g,16.167,0.035,positive,,
