,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
16,59223.482095,r,18.724,0.113,positive,,
17,59221.525509,r,18.999,0.169,positive,,
20,59216.514618,r,18.809,0.112,positive,,
27,59194.514699,r,18.483,0.087,positive,,
32,59184.505289,r,18.402,0.093,positive,,
35,59033.172292,r,17.598,0.07,positive,,
40,59017.234317,r,17.728,0.054,positive,,
44,59009.17044,r,17.413,0.056,positive,,
46,58998.230833,r,17.659,0.066,positive,,
54,58976.253391,r,17.348,0.051,positive,,
56,58972.192002,r,17.587,0.059,positive,,
64,58955.26912,r,17.327,0.051,positive,,
65,58914.404456,r,16.728,0.036,positive,,
66,58911.449086,r,16.736,0.042,positive,,
67,58901.397199,r,16.629,0.05,positive,,
68,58898.46022,r,16.475,0.04,positive,,
70,58894.493148,r,16.44,0.037,positive,,
72,58887.481366,r,16.243,0.036,positive,,
74,58884.518982,r,16.165,0.039,positive,,
77,58875.501643,r,15.86,0.033,positive,,
78,58872.544572,r,15.735,0.032,positive,,
83,58850.521099,r,15.274,0.022,positive,,
