,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
8,58692.190313,g,20.404,0.246,positive,,
10,58684.189444,g,20.09,0.193,positive,,
15,58674.205394,g,20.074,0.314,positive,,
18,58665.189722,g,19.868,0.195,positive,,
21,58657.210532,g,19.684,0.16,positive,,
25,58645.23066,g,19.419,0.176,positive,,
26,58642.296146,g,19.376,0.127,positive,,
29,58639.251887,g,19.309,0.134,positive,,
30,58636.272639,g,19.328,0.13,positive,,
34,58617.378889,g,18.928,0.132,positive,,
36,58606.377431,g,18.898,0.098,positive,,
40,58591.251736,g,18.34,0.182,positive,,
42,58587.356643,g,18.533,0.11,positive,,
43,58584.446215,g,18.571,0.089,positive,,
46,58581.299294,g,18.502,0.088,positive,,
49,58574.39816,g,18.426,0.087,positive,,
50,58568.397824,g,18.322,0.085,positive,,
52,58560.481146,g,18.342,0.067,positive,,
56,58541.459259,g,17.934,0.053,positive,,
57,58526.543819,g,17.007,0.052,positive,,
60,58506.523877,g,16.69,0.046,positive,,
