,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
0,58720.145289,r,19.574,0.153,positive,,
7,58698.174815,r,19.394,0.172,positive,,
9,58692.17434,r,19.187,0.128,positive,,
11,58684.165718,r,19.101,0.151,positive,,
14,58674.225197,r,19.077,0.113,positive,,
16,58671.208287,r,18.968,0.139,positive,,
17,58668.175336,r,18.891,0.098,positive,,
19,58660.230058,r,18.909,0.092,positive,,
20,58657.25206,r,18.803,0.104,positive,,
22,58653.228599,r,18.661,0.092,positive,,
23,58650.25228,r,18.577,0.154,positive,,
27,58642.251782,r,18.577,0.074,positive,,
28,58639.293819,r,18.524,0.079,positive,,
31,58636.210891,r,18.56,0.094,positive,,
32,58633.316227,r,18.457,0.089,positive,,
33,58628.333762,r,18.386,0.095,positive,,
35,58617.309294,r,18.295,0.08,positive,,
37,58606.356505,r,18.082,0.075,positive,,
38,58597.379236,r,17.953,0.071,positive,,
39,58591.376516,r,17.848,0.065,positive,,
41,58587.377512,r,17.785,0.085,positive,,
44,58584.417014,r,17.707,0.071,positive,,
45,58581.400185,r,17.64,0.072,positive,,
47,58577.437882,r,17.603,0.242,positive,,
48,58574.423808,r,17.601,0.069,positive,,
53,58560.418241,r,17.353,0.045,positive,,
55,58541.542894,r,16.839,0.036,positive,,
58,58526.506296,r,16.004,0.033,positive,,
59,58509.49441,r,15.984,0.029,positive,,
61,58503.516065,r,16.692,0.053,positive,,
