,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
113,58917.38365,g,16.88,,limit,,
117,58914.44407,g,19.603,,limit,,
136,58895.52963,g,20.388,,limit,,
138,58894.55146,g,20.218,,limit,,
141,58893.48672,g,20.024,,limit,,
142,58892.55488,g,19.826,,limit,,
144,58891.46965,g,19.564,,limit,,
145,58890.55332,g,18.775,,limit,,
149,58887.45693,g,19.319,,limit,,
151,58886.48794,g,19.653,,limit,,
153,58885.47042,g,19.142,,limit,,
155,58881.51659,g,20.48,,limit,,
157,58880.48477,g,20.082,,limit,,
158,58879.51198,g,19.904,,limit,,
160,58878.53534,g,19.984,,limit,,
163,58876.51654,g,20.269,,limit,,
165,58875.48742,g,20.162,,limit,,
