,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
25,59005.35422,r,18.475,,limit,,
109,58940.51376,r,19.748,,limit,,
137,58895.48831,r,20.258,,limit,,
139,58894.53811,r,20.293,,limit,,
140,58893.54591,r,20.245,,limit,,
143,58892.53193,r,20.005,,limit,,
146,58890.48953,r,18.844,,limit,,
147,58888.51508,r,18.815,,limit,,
148,58887.54763,r,19.82,,limit,,
150,58886.55568,r,20.09,,limit,,
152,58885.54584,r,20.191,,limit,,
154,58881.55126,r,20.334,,limit,,
156,58880.5369,r,20.132,,limit,,
159,58878.57235,r,19.639,,limit,,
161,58877.51681,r,20.182,,limit,,
162,58876.55646,r,20.498,,limit,,
164,58875.54569,r,20.168,,limit,,
166,58873.5323,r,20.356,,limit,,
