,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
1,59023.329375,g,19.441,0.136,positive,,
3,59022.349143,g,18.994,0.097,positive,,
5,59020.369537,g,18.359,0.084,positive,,
8,59019.289711,g,18.267,0.071,positive,,
9,59018.344768,g,18.219,0.066,positive,,
10,59017.309155,g,18.12,0.049,positive,,
12,59016.344421,g,18.037,0.085,positive,,
14,59014.356192,g,18.089,0.062,positive,,
17,59013.245058,g,18.091,0.061,positive,,
18,59012.306632,g,18.07,0.054,positive,,
21,59011.310035,g,18.044,0.068,positive,,
23,59009.290428,g,18.108,0.078,positive,,
27,59005.204653,g,18.043,0.068,positive,,
29,59004.204155,g,18.024,0.087,positive,,
30,59002.41022,g,18.107,0.092,positive,,
31,59001.383264,g,18.063,0.072,positive,,
32,59000.406829,g,18.07,0.152,positive,,
34,59000.30713,g,18.023,0.061,positive,,
36,58999.262651,g,18.1,0.075,positive,,
37,58998.373611,g,18.075,0.049,positive,,
39,58997.3911,g,18.082,0.054,positive,,
42,58996.195984,g,18.054,0.059,positive,,
43,58995.332407,g,18.094,0.061,positive,,
45,58994.40169,g,18.043,0.05,positive,,
46,58993.264317,g,18.079,0.067,positive,,
47,58992.349456,g,18.135,0.063,positive,,
49,58991.415405,g,18.072,0.059,positive,,
51,58987.431991,g,18.087,0.056,positive,,
54,58986.399734,g,18.089,0.049,positive,,
55,58985.446771,g,18.105,0.075,positive,,
58,58981.325162,g,18.177,0.096,positive,,
60,58980.414711,g,18.079,0.095,positive,,
62,58979.257141,g,18.129,0.072,positive,,
63,58978.431181,g,18.117,0.096,positive,,
66,58977.38728,g,18.06,0.081,positive,,
67,58976.465428,g,18.168,0.086,positive,,
70,58975.244641,g,18.167,0.079,positive,,
71,58974.471331,g,18.239,0.094,positive,,
73,58973.452176,g,18.302,0.076,positive,,
75,58972.469155,g,18.215,0.063,positive,,
77,58971.45309,g,18.272,0.074,positive,,
79,58970.456343,g,18.303,0.058,positive,,
82,58968.446296,g,18.33,0.062,positive,,
83,58968.446296,g,18.33,0.062,positive,,
85,58967.429526,g,18.35,0.077,positive,,
88,58966.426354,g,18.305,0.074,positive,,
90,58965.423206,g,18.328,0.064,positive,,
92,58964.391319,g,18.34,0.07,positive,,
93,58963.457708,g,18.32,0.077,positive,,
94,58963.386076,g,18.35,0.072,positive,,
95,58962.494745,g,18.396,0.104,positive,,
98,58956.389005,g,18.509,0.193,positive,,
100,58955.465266,g,18.392,0.074,positive,,
103,58954.405058,g,18.382,0.079,positive,,
105,58944.493275,g,18.387,0.093,positive,,
107,58943.42963,g,18.398,0.134,positive,,
108,58941.495023,g,18.393,0.078,positive,,
110,58940.489086,g,18.287,0.072,positive,,
112,58936.485602,g,18.332,0.074,positive,,
115,58915.467789,g,18.081,0.079,positive,,
118,58913.519711,g,18.041,0.065,positive,,
120,58912.534977,g,17.983,0.069,positive,,
122,58911.546296,g,17.973,0.065,positive,,
124,58908.553576,g,17.857,0.062,positive,,
125,58908.553576,g,17.857,0.062,positive,,
128,58903.533125,g,17.754,0.052,positive,,
130,58900.539236,g,17.66,0.074,positive,,
132,58899.538507,g,17.654,0.047,positive,,
134,58898.552373,g,17.626,0.044,positive,,
