,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
0,59025.183287,r,18.915,0.11,positive,,
2,59023.304607,r,18.19,0.056,positive,,
4,59022.262546,r,17.868,0.046,positive,,
6,59020.263704,r,17.338,0.04,positive,,
7,59019.364641,r,17.266,0.037,positive,,
11,59017.286782,r,17.145,0.034,positive,,
13,59015.323854,r,17.112,0.044,positive,,
15,59014.250162,r,17.111,0.044,positive,,
16,59013.324074,r,17.113,0.033,positive,,
19,59012.282535,r,17.109,0.041,positive,,
20,59011.327211,r,17.13,0.037,positive,,
22,59009.367465,r,17.134,0.046,positive,,
24,59008.345081,r,17.133,0.045,positive,,
26,59005.304896,r,17.142,0.038,positive,,
28,59004.30022,r,17.142,0.037,positive,,
33,59000.372141,r,17.121,0.049,positive,,
35,58999.326759,r,17.099,0.035,positive,,
38,58998.32316,r,17.111,0.033,positive,,
40,58997.280625,r,17.134,0.042,positive,,
41,58996.26978,r,17.14,0.047,positive,,
44,58995.26169,r,17.121,0.051,positive,,
48,58992.301586,r,17.107,0.04,positive,,
50,58991.277315,r,17.134,0.044,positive,,
52,58987.350857,r,17.151,0.037,positive,,
53,58986.471817,r,17.173,0.046,positive,,
56,58985.392708,r,17.16,0.04,positive,,
57,58981.408831,r,17.202,0.039,positive,,
59,58980.465069,r,17.207,0.039,positive,,
61,58979.343102,r,17.192,0.05,positive,,
64,58978.301007,r,17.194,0.039,positive,,
65,58977.442685,r,17.24,0.049,positive,,
68,58976.349896,r,17.258,0.043,positive,,
69,58975.446551,r,17.275,0.041,positive,,
72,58974.321759,r,17.208,0.043,positive,,
74,58973.323275,r,17.25,0.052,positive,,
76,58972.422928,r,17.273,0.041,positive,,
78,58971.412581,r,17.299,0.051,positive,,
80,58970.403218,r,17.293,0.037,positive,,
81,58969.349329,r,17.274,0.093,positive,,
84,58968.399954,r,17.329,0.044,positive,,
86,58967.408588,r,17.315,0.045,positive,,
87,58966.464525,r,17.342,0.044,positive,,
89,58965.446366,r,17.367,0.039,positive,,
91,58964.417118,r,17.377,0.041,positive,,
96,58962.47441,r,17.404,0.042,positive,,
97,58961.447616,r,17.401,0.053,positive,,
99,58956.32434,r,17.444,0.049,positive,,
101,58955.454143,r,17.462,0.046,positive,,
102,58954.492708,r,17.437,0.044,positive,,
104,58944.510197,r,17.512,0.052,positive,,
106,58943.472743,r,17.495,0.05,positive,,
111,58936.518299,r,17.541,0.042,positive,,
114,58915.5175,r,17.335,0.188,positive,,
116,58914.547558,r,17.634,0.048,positive,,
119,58913.495972,r,17.624,0.066,positive,,
121,58912.494479,r,17.594,0.061,positive,,
123,58911.493356,r,17.578,0.059,positive,,
126,58908.489352,r,17.548,0.053,positive,,
127,58908.489352,r,17.548,0.053,positive,,
129,58903.512153,r,17.589,0.047,positive,,
131,58900.488229,r,17.619,0.054,positive,,
133,58899.481354,r,17.614,0.053,positive,,
135,58898.530648,r,17.692,0.054,positive,,
