,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
2,59219.11752,g,20.235,,limit,,
4,59215.1631,g,18.611,,limit,,
5,59210.13704,g,18.575,,limit,,
7,59206.17542,g,17.156,,limit,,
9,59204.11718,g,19.767,,limit,,
10,59202.16334,g,19.589,,limit,,
11,59199.19677,g,19.677,,limit,,
14,59197.13505,g,17.231,,limit,,
15,59194.19722,g,19.675,,limit,,
17,59192.20308,g,19.286,,limit,,
27,59169.23683,g,19.965,,limit,,
31,59164.2417,g,19.913,,limit,,
32,59155.14286,g,19.649,,limit,,
34,59153.14339,g,19.454,,limit,,
36,59151.15626,g,19.644,,limit,,
38,59149.24354,g,19.135,,limit,,
44,59142.12249,g,20.403,,limit,,
45,59140.162,g,20.482,,limit,,
47,59138.21701,g,20.244,,limit,,
51,59129.32137,g,19.927,,limit,,
54,59127.18043,g,20.55,,limit,,
56,59126.26043,g,18.902,,limit,,
58,59125.17946,g,19.613,,limit,,
61,59123.17817,g,19.357,,limit,,
70,59116.26109,g,20.318,,limit,,
78,59097.34215,g,19.63,,limit,,
87,59093.42986,g,19.288,,limit,,
90,59091.26613,g,19.823,,limit,,
91,59090.27124,g,19.665,,limit,,
92,59089.30061,g,19.809,,limit,,
94,59088.3092,g,20.09,,limit,,
99,59084.34501,g,20.421,,limit,,
101,59082.32436,g,19.211,,limit,,
105,59076.30587,g,16.97,,limit,,
106,59075.34402,g,20.51,,limit,,
110,59072.41063,g,20.194,,limit,,
119,59069.37372,g,20.139,,limit,,
143,59059.37986,g,20.501,,limit,,
157,59052.32697,g,20.854,,limit,,
168,59046.3666,g,20.7,,limit,,
188,59036.23794,g,19.144,,limit,,
189,59035.4517,g,19.336,,limit,,
209,59000.43309,g,16.899,,limit,,
