,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
25,59171.180683,g,20.618,0.276,positive,,
41,59144.176505,g,20.07,0.297,positive,,
49,59136.141991,g,20.281,0.196,positive,,
62,59122.273461,g,19.942,0.311,positive,,
64,59121.322072,g,20.26,0.362,positive,,
65,59120.24375,g,20.061,0.308,positive,,
66,59119.249329,g,20.09,0.258,positive,,
67,59117.258183,g,19.96,0.166,positive,,
69,59116.284363,g,20.104,0.26,positive,,
72,59113.204884,g,20.018,0.187,positive,,
73,59110.302361,g,19.716,0.323,positive,,
75,59107.328264,g,20.222,0.257,positive,,
82,59095.325903,g,19.899,0.272,positive,,
83,59095.195093,g,19.575,0.215,positive,,
86,59094.21662,g,19.681,0.303,positive,,
89,59092.316632,g,19.786,0.239,positive,,
98,59086.280359,g,19.918,0.169,positive,,
102,59077.3461,g,19.826,0.142,positive,,
108,59073.324618,g,19.831,0.143,positive,,
111,59072.353715,g,19.829,0.177,positive,,
113,59071.410081,g,19.872,0.158,positive,,
115,59070.328403,g,19.831,0.139,positive,,
120,59069.309074,g,19.904,0.194,positive,,
121,59068.449734,g,19.706,0.249,positive,,
124,59067.321655,g,20.035,0.207,positive,,
127,59066.342604,g,19.782,0.233,positive,,
128,59066.309884,g,19.805,0.236,positive,,
131,59065.238669,g,19.748,0.235,positive,,
132,59064.470891,g,19.83,0.321,positive,,
135,59063.452662,g,19.624,0.22,positive,,
138,59062.403414,g,19.75,0.227,positive,,
142,59060.38978,g,19.755,0.139,positive,,
145,59057.384849,g,19.768,0.146,positive,,
147,59056.411319,g,19.65,0.135,positive,,
149,59055.387616,g,19.808,0.155,positive,,
151,59054.448102,g,19.659,0.126,positive,,
154,59053.414132,g,19.667,0.112,positive,,
155,59053.367963,g,19.812,0.133,positive,,
159,59051.328333,g,19.706,0.12,positive,,
161,59050.385752,g,19.625,0.108,positive,,
162,59049.324051,g,19.643,0.114,positive,,
164,59048.367523,g,19.864,0.139,positive,,
166,59047.28147,g,19.729,0.115,positive,,
170,59045.277431,g,19.721,0.136,positive,,
172,59044.370093,g,19.705,0.121,positive,,
173,59043.344977,g,19.745,0.127,positive,,
176,59042.338461,g,19.757,0.144,positive,,
177,59041.370428,g,19.704,0.155,positive,,
180,59040.244734,g,19.569,0.141,positive,,
182,59039.371701,g,19.447,0.156,positive,,
183,59038.473808,g,19.519,0.156,positive,,
186,59037.260162,g,19.724,0.236,positive,,
192,59034.224537,g,19.494,0.238,positive,,
194,59031.330625,g,19.41,0.151,positive,,
197,59025.32728,g,19.191,0.093,positive,,
198,59022.361887,g,18.897,0.099,positive,,
201,59019.283009,g,18.621,0.073,positive,,
203,59016.352292,g,18.502,0.116,positive,,
204,59013.394641,g,18.167,0.07,positive,,
206,59010.476597,g,18.074,0.056,positive,,
207,59002.44978,g,17.94,0.144,positive,,
208,59001.379919,g,17.774,0.046,positive,,
210,58999.408137,g,17.703,0.05,positive,,
213,58998.432859,g,17.68,0.042,positive,,
215,58997.415417,g,17.651,0.048,positive,,
217,58996.426725,g,17.642,0.052,positive,,
219,58994.425463,g,17.645,0.038,positive,,
220,58992.473831,g,17.594,0.05,positive,,
223,58991.413438,g,17.587,0.047,positive,,
224,58987.445035,g,17.522,0.043,positive,,
227,58986.433576,g,17.514,0.057,positive,,
229,58985.45228,g,17.499,0.035,positive,,
233,58980.455694,g,17.468,0.05,positive,,
235,58979.445498,g,17.468,0.045,positive,,
237,58978.427824,g,17.483,0.055,positive,,
239,58977.384826,g,17.469,0.072,positive,,
240,58976.462998,g,17.419,0.053,positive,,
242,58975.468669,g,17.394,0.055,positive,,
244,58974.478021,g,17.421,0.051,positive,,
246,58973.474711,g,17.436,0.037,positive,,
248,58972.473438,g,17.4,0.042,positive,,
250,58971.448796,g,17.435,0.045,positive,,
252,58970.469931,g,17.372,0.053,positive,,
254,58968.468646,g,17.365,0.047,positive,,
256,58967.448241,g,17.348,0.049,positive,,
259,58966.448299,g,17.348,0.038,positive,,
261,58965.429722,g,17.339,0.047,positive,,
263,58963.450278,g,17.307,0.043,positive,,
264,58963.409896,g,17.297,0.044,positive,,
265,58962.490093,g,17.306,0.038,positive,,
269,58956.474005,g,17.243,0.049,positive,,
270,58955.473611,g,17.225,0.04,positive,,
272,58944.465637,g,17.064,0.043,positive,,
274,58940.492847,g,17.032,0.034,positive,,
