,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
0,59223.117975,r,19.402,0.172,positive,,
1,59219.141701,r,19.666,0.151,positive,,
6,59210.114201,r,19.417,0.269,positive,,
8,59204.164514,r,19.073,0.176,positive,,
16,59194.150718,r,19.34,0.172,positive,,
19,59185.135671,r,19.143,0.121,positive,,
20,59185.135671,r,19.143,0.121,positive,,
21,59181.073634,r,18.958,0.172,positive,,
22,59179.124294,r,19.061,0.094,positive,,
23,59175.149745,r,18.903,0.271,positive,,
24,59173.094444,r,18.961,0.118,positive,,
29,59167.217222,r,18.922,0.115,positive,,
30,59164.289051,r,18.823,0.17,positive,,
33,59155.122384,r,18.818,0.095,positive,,
35,59153.093079,r,18.794,0.107,positive,,
37,59151.095972,r,18.769,0.078,positive,,
39,59149.111933,r,18.848,0.172,positive,,
40,59146.114595,r,18.77,0.095,positive,,
42,59142.13963,r,18.71,0.098,positive,,
43,59142.13963,r,18.71,0.098,positive,,
46,59140.144803,r,18.628,0.075,positive,,
48,59136.179387,r,18.568,0.075,positive,,
50,59134.177107,r,18.529,0.072,positive,,
55,59126.37213,r,18.456,0.099,positive,,
57,59125.289433,r,18.408,0.076,positive,,
59,59124.266551,r,18.505,0.085,positive,,
60,59123.307315,r,18.603,0.162,positive,,
63,59122.206956,r,18.477,0.109,positive,,
68,59116.324086,r,18.364,0.063,positive,,
71,59113.266331,r,18.413,0.091,positive,,
74,59110.263912,r,18.301,0.097,positive,,
76,59107.29088,r,18.291,0.09,positive,,
77,59098.385764,r,18.25,0.078,positive,,
79,59097.304653,r,18.299,0.092,positive,,
80,59096.308542,r,18.157,0.062,positive,,
81,59095.378981,r,18.195,0.083,positive,,
85,59094.307268,r,18.11,0.069,positive,,
88,59093.341875,r,18.209,0.079,positive,,
93,59088.375069,r,18.184,0.067,positive,,
95,59087.302049,r,18.104,0.054,positive,,
96,59086.416528,r,18.147,0.076,positive,,
97,59086.322095,r,18.08,0.055,positive,,
100,59084.291215,r,18.124,0.065,positive,,
103,59076.359861,r,18.048,0.07,positive,,
104,59076.353056,r,18.034,0.071,positive,,
107,59075.309271,r,18.05,0.047,positive,,
109,59073.309965,r,18.012,0.058,positive,,
112,59072.326944,r,18.037,0.059,positive,,
114,59071.346759,r,18.006,0.06,positive,,
116,59070.309549,r,17.982,0.055,positive,,
117,59069.45103,r,18.025,0.066,positive,,
118,59069.413368,r,18.002,0.063,positive,,
122,59068.395544,r,17.931,0.056,positive,,
123,59068.339016,r,17.997,0.055,positive,,
125,59067.308438,r,18.022,0.048,positive,,
126,59066.452824,r,17.997,0.06,positive,,
129,59065.35912,r,17.927,0.069,positive,,
130,59065.340845,r,18.086,0.086,positive,,
133,59064.334271,r,17.928,0.085,positive,,
134,59064.333808,r,17.946,0.068,positive,,
136,59063.34147,r,17.949,0.061,positive,,
137,59063.315613,r,17.939,0.054,positive,,
139,59062.299873,r,17.942,0.063,positive,,
140,59061.300729,r,17.924,0.068,positive,,
141,59060.40537,r,17.897,0.058,positive,,
144,59059.362211,r,17.931,0.051,positive,,
146,59057.357222,r,17.912,0.056,positive,,
148,59056.388796,r,17.885,0.069,positive,,
150,59055.36331,r,17.901,0.054,positive,,
152,59054.378877,r,17.886,0.054,positive,,
153,59053.449931,r,17.875,0.048,positive,,
156,59052.381701,r,17.884,0.048,positive,,
