MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
59064.19044,g,18.511,0.131,positive,,
59051.16809,g,18.124,0.06,positive,,
59048.253044,g,18.03,0.053,positive,,
59045.26338,g,18.066,0.053,positive,,
59042.29941,g,17.96,0.059,positive,,
59042.194664,g,18.018,0.064,positive,,
59039.193518,g,17.953,0.063,positive,,
59039.193044,g,17.964,0.051,positive,,
59036.21522,g,17.931,0.06,positive,,
59036.214745,g,17.899,0.063,positive,,
59033.20956,g,17.895,0.086,positive,,
59033.189919,g,17.9,0.072,positive,,
59028.199224,g,17.761,0.058,positive,,
59027.225718,g,17.746,0.045,positive,,
59025.229919,g,17.703,0.062,positive,,
59024.292002,g,17.59,0.045,positive,,
59022.198924,g,17.624,0.049,positive,,
59019.25235,g,17.642,0.048,positive,,
59018.336539,g,17.639,0.048,positive,,
59016.335428,g,17.61,0.048,positive,,
59009.272477,g,17.526,0.051,positive,,
59009.271539,g,17.548,0.051,positive,,
58995.314456,g,17.11,0.039,positive,,
58995.296111,g,17.081,0.038,positive,,
58986.379329,g,16.445,0.027,positive,,
58986.378391,g,16.461,0.039,positive,,
58981.332975,g,16.014,0.025,positive,,
58979.277037,g,15.603,0.062,positive,,
58978.379595,g,15.777,0.044,positive,,
58975.293935,g,15.638,0.03,positive,,
58975.293472,g,15.661,0.022,positive,,
58972.442072,g,15.677,0.032,positive,,
58972.289375,g,15.684,0.028,positive,,
58966.421099,g,16.202,0.024,positive,,
58963.421979,g,16.889,0.029,positive,,
58963.420625,g,16.888,0.042,positive,,
58963.397998,g,16.906,0.036,positive,,
58963.377743,g,16.906,0.041,positive,,
58954.41834,g,20.035,,limit,,
58954.39929,g,20.162,,limit,,
58944.46,g,19.662,,limit,,
58943.43816,g,19.898,,limit,,
58939.45926,g,18.496,,limit,,
