MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
59064.294907,r,17.757,0.1,positive,,
59064.273518,r,17.69,0.077,positive,,
59051.242326,r,17.457,0.061,positive,,
59051.189745,r,17.447,0.039,positive,,
59048.189745,r,17.404,0.049,positive,,
59048.188785,r,17.402,0.048,positive,,
59045.227894,r,17.346,0.053,positive,,
59045.190625,r,17.346,0.038,positive,,
59042.211111,r,17.334,0.043,positive,,
59039.232778,r,17.224,0.041,positive,,
59036.274826,r,17.233,0.061,positive,,
59036.274363,r,17.183,0.038,positive,,
59028.210741,r,16.989,0.035,positive,,
59027.289641,r,16.967,0.061,positive,,
59024.244792,r,17.009,0.043,positive,,
59022.230266,r,16.764,0.031,positive,,
59019.231227,r,16.732,0.03,positive,,
59015.315683,r,16.665,0.043,positive,,
59012.25162,r,16.596,0.027,positive,,
59012.250683,r,16.601,0.04,positive,,
59009.360336,r,16.53,0.034,positive,,
59001.273171,r,16.291,0.042,positive,,
59001.272708,r,16.299,0.034,positive,,
58998.295613,r,16.17,0.03,positive,,
58998.293218,r,16.165,0.036,positive,,
58995.291262,r,16.011,0.03,positive,,
58995.272755,r,16.004,0.037,positive,,
58992.312049,r,15.843,0.022,positive,,
58992.311111,r,15.823,0.034,positive,,
58986.311817,r,15.466,0.026,positive,,
58986.292813,r,15.453,0.034,positive,,
58981.271539,r,15.184,0.027,positive,,
58978.294641,r,15.113,0.029,positive,,
58975.397674,r,15.118,0.027,positive,,
58972.400671,r,15.227,0.026,positive,,
58972.378553,r,15.217,0.038,positive,,
58966.377674,r,15.87,0.045,positive,,
58966.376771,r,15.894,0.027,positive,,
58954.45935,r,19.931,,limit,,
58954.43929,r,19.762,,limit,,
58944.40182,r,19.499,,limit,,
58943.47958,r,20.067,,limit,,
58939.48304,r,15.993,,limit,,
58939.48124,r,16.347,,limit,,
