MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
60411.323692,g,21.442,,limit,,
60410.272361,g,21.433,,limit,,
60409.232037,g,21.159,,limit,-1.4,1.9
60407.322037,g,20.372,,limit,-1.7,3.7
60403.337153,g,20.28,,limit,0.3,4.1
60397.315787,g,19.492,,limit,-5.3,7.3
60392.405764,g,18.927,,limit,7.7,12.6
60390.402824,g,19.639,,limit,-2.9,6.5
60388.330984,g,19.965,,limit,2.9,5.3
59321.270938,g,20.857,,limit,,
59317.252407,g,20.947,,limit,,
59315.276343,g,18.719,,limit,,
59313.255648,g,20.539,,limit,,
59311.233507,g,20.334,,limit,,
59309.309155,g,20.499,0.291,positive,,
59307.297234,g,20.65,,limit,,
59305.27713,g,18.598,,limit,,
59303.3589,g,19.078,,limit,,
59298.33375,g,19.217,,limit,,
59293.294838,g,20.392,0.233,positive,,
59291.28912,g,20.454,,limit,,
59278.316667,g,20.009,0.186,positive,,
59275.443368,g,19.215,,limit,,
59272.406678,g,18.758,,limit,,
59270.400382,g,19.442,,limit,,
59268.436042,g,19.957,0.207,positive,,
59262.41684,g,19.692,0.247,positive,,
59257.379051,g,19.645,0.186,positive,,
59255.377894,g,20.955,,limit,,
59253.379039,g,19.881,0.211,positive,,
59249.436389,g,19.778,0.331,positive,,
59234.44922,g,19.843,,limit,,
59231.458692,g,19.495,0.112,positive,,
59229.46737,g,19.588,,limit,,
59227.462257,g,19.393,0.109,positive,,
59225.465023,g,19.311,0.143,positive,,
59223.399688,g,19.245,0.129,positive,,
59221.473403,g,19.179,0.15,positive,,
59216.53569,g,19.135,,limit,,
59203.540521,g,19.128,0.116,positive,,
59200.448437,g,18.939,0.224,positive,,
59198.52588,g,19.072,0.117,positive,,
59194.549051,g,19.131,0.099,positive,,
59188.541979,g,18.891,0.125,positive,,
59186.54259,g,18.719,,limit,,
59180.503507,g,19.201,0.242,positive,,
59176.516424,g,18.927,0.11,positive,,
59037.21213,g,16.271,0.041,positive,,
59033.197928,g,15.87,0.025,positive,,
59023.21441,g,15.445,0.024,positive,,
59020.197789,g,15.379,0.03,positive,,
59014.199873,g,15.282,0.022,positive,,
59009.231481,g,15.168,0.022,positive,,
59005.186759,g,15.128,0.026,positive,,
58998.19272,g,14.939,0.028,positive,,
58995.20147,g,14.842,0.023,positive,,
58992.193218,g,14.735,0.02,positive,,
58986.192014,g,14.617,0.023,positive,,
58981.199271,g,14.439,0.02,positive,,
58978.192049,g,14.52,0.027,positive,,
58975.250197,g,15.399,0.03,positive,,
58971.27513,g,19.696,,limit,,
58968.27237,g,20.474,,limit,,
58967.2494,g,20.487,,limit,,
58965.23047,g,20.656,,limit,,
58962.23068,g,20.658,,limit,,
58955.29603,g,20.401,,limit,,
