MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
60411.394815,r,19.73,0.081,negative,,
60411.302141,r,21.292,,limit,,
60410.347072,r,21.25,,limit,-1.1,1.7
60410.209456,r,19.765,0.056,negative,,
60409.362859,r,19.672,0.073,negative,-49.5,2.4
60409.362859,r,20.785,,limit,-49.5,2.4
60409.172373,r,20.971,,limit,-2.9,2.2
60407.265845,r,20.478,,limit,-6.3,3.5
60403.263982,r,20.452,,limit,2.9,3.7
60397.41331,r,19.509,,limit,2.6,7.7
60390.359248,r,19.902,,limit,-5.7,5.3
60388.373299,r,19.827,,limit,4.9,5.4
59321.298449,r,20.595,0.213,positive,,
59317.330833,r,20.479,0.236,positive,,
59313.298414,r,19.928,,limit,,
59311.312269,r,20.547,0.189,positive,,
59309.277326,r,20.31,0.241,positive,,
59307.253958,r,20.25,0.205,positive,,
59298.378507,r,19.344,,limit,,
59296.357743,r,19.709,,limit,,
59293.253831,r,20.32,0.237,positive,,
59291.350417,r,20.113,0.151,positive,,
59281.287836,r,19.807,0.168,positive,,
59278.424537,r,19.666,0.151,positive,,
59275.383276,r,19.428,,limit,,
59272.441898,r,19.325,0.258,positive,,
59272.441898,r,18.887,,limit,,
59270.35485,r,19.788,0.31,positive,,
59268.351586,r,19.615,0.163,positive,,
59266.360185,r,19.626,0.22,positive,,
59264.373391,r,19.505,0.104,positive,,
59262.361146,r,19.549,0.121,positive,,
59255.41603,r,19.424,0.106,positive,,
59253.487025,r,19.289,0.104,positive,,
59251.461863,r,19.311,0.096,positive,,
59249.41294,r,19.233,0.157,positive,,
59231.482581,r,18.914,0.083,positive,,
59229.43338,r,18.773,0.128,positive,,
59227.37897,r,18.813,0.077,positive,,
59225.50394,r,18.264,,limit,,
59223.467986,r,18.792,0.112,positive,,
59221.443808,r,18.667,0.097,positive,,
59216.515093,r,18.62,0.124,positive,,
59203.499109,r,18.505,0.091,positive,,
59200.525486,r,18.341,0.12,positive,,
59198.484711,r,18.326,0.081,positive,,
59194.5161,r,18.281,0.07,positive,,
59188.510718,r,18.178,0.08,positive,,
59184.50669,r,18.133,0.074,positive,,
59180.561343,r,17.976,0.122,positive,,
59176.561586,r,17.936,0.078,positive,,
59175.50213,r,17.504,,limit,,
59033.176169,r,14.978,0.023,positive,,
59020.236389,r,14.713,0.039,positive,,
59017.235255,r,14.684,0.025,positive,,
58998.225162,r,14.562,0.028,positive,,
58995.229421,r,14.555,0.022,positive,,
58992.234271,r,14.497,0.025,positive,,
58986.255556,r,14.547,0.03,positive,,
58981.24912,r,14.448,0.033,positive,,
58978.247882,r,14.64,0.036,positive,,
58975.202558,r,16.015,0.036,positive,,
58971.21056,r,19.746,,limit,,
58968.20413,r,20.519,,limit,,
58965.28759,r,20.575,,limit,,
58962.27894,r,20.408,,limit,,
58955.25255,r,20.431,,limit,,
