MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
59349.234653,g,20.641,,limit,,
59347.273692,g,20.704,,limit,,
59345.361574,g,20.952,0.373,positive,,
59343.274109,g,20.58,,limit,,
59339.231887,g,20.558,,limit,,
59334.235382,g,20.434,,limit,,
59324.360891,g,20.345,,limit,,
59322.335394,g,20.367,,limit,,
59320.36434,g,20.573,,limit,,
59317.291806,g,20.644,,limit,,
59315.332338,g,19.558,,limit,,
59313.290787,g,19.937,,limit,,
59311.359144,g,20.972,0.294,positive,,
59307.379815,g,20.308,,limit,,
59305.400023,g,19.526,,limit,,
59302.337072,g,18.65,,limit,,
59300.375185,g,18.893,,limit,,
59297.320127,g,19.447,,limit,,
59295.333137,g,19.765,,limit,,
59290.418704,g,20.551,0.231,positive,,
59278.505556,g,19.893,,limit,,
59273.399236,g,18.464,,limit,,
59271.422407,g,18.977,,limit,,
59269.481597,g,20.08,,limit,,
59267.380544,g,19.483,,limit,,
59265.421181,g,19.818,,limit,,
59263.520139,g,20.036,,limit,,
59260.501852,g,17.981,,limit,,
59256.507986,g,20.575,0.258,positive,,
59254.524954,g,20.196,,limit,,
59252.524583,g,20.417,0.174,positive,,
59250.46291,g,19.708,,limit,,
59250.462905,g,19.708,,limit,,
59231.547616,g,20.406,0.22,positive,,
59228.520023,g,20.068,0.174,positive,,
59225.49762,g,18.755,,limit,,
59217.54248,g,19.228,,limit,,
59043.190451,g,16.339,0.031,positive,,
59040.210637,g,16.352,0.027,positive,,
59037.23081,g,16.304,0.037,positive,,
59033.191331,g,16.252,0.028,positive,,
59028.202523,g,16.141,0.032,positive,,
59025.228947,g,16.087,0.039,positive,,
59022.20081,g,16.041,0.033,positive,,
59019.253785,g,16.013,0.03,positive,,
59016.197893,g,16.05,0.039,positive,,
59012.192732,g,16.405,0.035,positive,,
59001.37275,g,19.397,,limit,,
58998.33685,g,20.633,,limit,,
58995.29848,g,20.487,,limit,,
58992.31642,g,20.545,,limit,,
