MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
59349.294583,r,20.336,0.217,positive,,
59345.316401,r,20.224,0.2,positive,,
59343.31522,r,20.102,0.222,positive,,
59341.276018,r,20.129,0.171,positive,,
59339.315336,r,20.138,0.194,positive,,
59336.336018,r,20.059,0.198,positive,,
59336.336018,r,20.059,0.198,positive,,
59334.335822,r,20.024,0.254,positive,,
59328.28,r,19.801,0.272,positive,,
59317.397176,r,19.879,0.182,positive,,
59315.355336,r,19.942,0.22,positive,,
59311.317512,r,19.776,0.164,positive,,
59309.378461,r,19.734,0.177,positive,,
59307.416065,r,19.78,0.178,positive,,
59305.354062,r,19.749,0.209,positive,,
59302.419398,r,18.864,,limit,,
59297.399271,r,19.601,0.16,positive,,
59295.399884,r,19.658,0.162,positive,,
59292.395405,r,19.707,0.149,positive,,
59278.480521,r,19.443,0.131,positive,,
59273.460451,r,18.942,0.218,positive,,
59271.460579,r,19.28,0.227,positive,,
59269.395637,r,19.819,,limit,,
59267.420637,r,19.322,0.155,positive,,
59265.35838,r,19.187,0.18,positive,,
59263.480995,r,19.375,0.226,positive,,
59260.404352,r,19.103,0.188,positive,,
59254.419942,r,19.455,,limit,,
59254.41994,r,19.455,,limit,,
59252.518889,r,19.222,0.124,positive,,
59250.425116,r,19.1,0.15,positive,,
59231.497118,r,18.959,0.095,positive,,
59228.499433,r,18.911,0.088,positive,,
59223.499803,r,18.937,0.147,positive,,
59219.488542,r,18.918,0.133,positive,,
59217.483,r,19.536,,limit,,
59215.525012,r,18.921,0.174,positive,,
59203.572153,r,18.787,0.251,positive,,
59203.567465,r,18.625,0.113,positive,,
59203.562766,r,18.651,0.134,positive,,
59203.558056,r,18.702,0.101,positive,,
59202.571597,r,18.74,0.178,positive,,
59202.566898,r,18.664,0.142,positive,,
59202.562199,r,18.801,0.161,positive,,
59202.5575,r,18.686,0.153,positive,,
59201.56839,r,19.058,,limit,,
59201.55977,r,19.539,,limit,,
59200.57189,r,17.911,,limit,,
59200.56715,r,18.364,,limit,,
59200.562407,r,18.759,0.203,positive,,
59200.557674,r,18.806,0.16,positive,,
59199.571447,r,18.776,0.173,positive,,
59199.566736,r,18.728,0.095,positive,,
59199.562014,r,18.765,0.109,positive,,
59199.557315,r,18.663,0.107,positive,,
59198.570845,r,18.754,0.21,positive,,
59198.566134,r,18.679,0.12,positive,,
59198.561412,r,18.738,0.127,positive,,
59198.556701,r,18.652,0.108,positive,,
59196.572465,r,18.549,0.274,positive,,
59196.567766,r,18.677,0.136,positive,,
59196.563067,r,18.75,0.172,positive,,
59196.558357,r,18.77,0.115,positive,,
59196.553657,r,18.577,0.12,positive,,
59195.571551,r,18.992,0.271,positive,,
59195.566794,r,18.815,0.139,positive,,
59195.562049,r,18.728,0.131,positive,,
59195.557292,r,18.682,0.18,positive,,
59195.552535,r,18.643,0.19,positive,,
59194.571134,r,18.695,0.176,positive,,
59194.566389,r,18.701,0.156,positive,,
59194.561655,r,18.608,0.123,positive,,
59194.55691,r,18.635,0.112,positive,,
59194.552164,r,18.631,0.099,positive,,
59193.57103,r,18.869,0.158,positive,,
59193.566331,r,18.597,0.155,positive,,
59193.561609,r,18.674,0.107,positive,,
59193.55691,r,18.664,0.117,positive,,
59193.552199,r,18.632,0.111,positive,,
59192.56986,r,18.276,,limit,,
59192.56515,r,16.466,,limit,,
59192.560451,r,18.785,0.138,positive,,
59192.555764,r,18.732,0.134,positive,,
59192.551053,r,18.546,0.198,positive,,
59043.232025,r,15.925,0.035,positive,,
59040.196146,r,15.988,0.037,positive,,
59037.185857,r,15.944,0.033,positive,,
59033.170857,r,15.936,0.046,positive,,
59028.212164,r,15.931,0.034,positive,,
59022.219086,r,15.993,0.045,positive,,
59019.211354,r,15.989,0.032,positive,,
59016.225278,r,16.148,0.035,positive,,
59012.230347,r,16.667,0.038,positive,,
59009.20005,r,19.843,,limit,,
59005.269,r,19.226,,limit,,
59001.23096,r,19.501,,limit,,
58998.27377,r,20.473,,limit,,
58992.25359,r,20.488,,limit,,
58986.27236,r,20.445,,limit,,
