MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
59251.36153,g,20.511,,limit,,
59249.26187,g,18.692,,limit,,
59233.338634,g,20.008,0.208,positive,,
59231.3825,g,19.832,0.16,positive,,
59229.33987,g,20.04,,limit,,
59227.435787,g,19.658,0.161,positive,,
59225.344954,g,19.754,0.141,positive,,
59223.388287,g,19.66,0.14,positive,,
59221.349132,g,19.673,0.146,positive,,
59219.285058,g,19.547,0.178,positive,,
59217.431019,g,19.488,0.15,positive,,
59215.43304,g,19.032,,limit,,
59206.38194,g,18.15,,limit,,
59204.450625,g,19.368,0.108,positive,,
59202.495035,g,19.206,0.105,positive,,
59199.536366,g,19.296,0.128,positive,,
59196.447396,g,19.106,0.175,positive,,
59194.434421,g,19.073,0.127,positive,,
59192.40459,g,18.991,,limit,,
59189.49353,g,20.05,,limit,,
59187.514,g,19.072,,limit,,
59185.452303,g,18.978,0.154,positive,,
59183.43207,g,16.457,,limit,,
59181.509306,g,19.073,0.125,positive,,
59176.498194,g,18.915,0.09,positive,,
59169.493067,g,18.817,0.084,positive,,
59167.524167,g,18.708,0.081,positive,,
59165.388576,g,18.748,0.09,positive,,
59158.491331,g,18.543,0.097,positive,,
59156.493368,g,18.575,0.103,positive,,
59153.51573,g,19.326,,limit,,
59151.392419,g,18.46,0.116,positive,,
59149.508414,g,18.368,0.077,positive,,
59145.451042,g,18.405,0.071,positive,,
59143.429977,g,18.406,0.065,positive,,
59141.453958,g,18.325,0.056,positive,,
59139.41088,g,18.3,0.103,positive,,
59137.450521,g,18.293,0.073,positive,,
59135.446389,g,18.23,0.076,positive,,
59130.492685,g,18.066,0.055,positive,,
59128.456424,g,18.127,0.079,positive,,
59126.468333,g,18.124,0.08,positive,,
59124.517778,g,18.071,0.075,positive,,
59013.221019,g,17.053,0.045,positive,,
59005.17774,g,19.339,,limit,,
58999.22127,g,19.668,,limit,,
58996.18348,g,20.417,,limit,,
58993.2356,g,20.331,,limit,,
58986.1803,g,20.562,,limit,,
