MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
59256.242836,r,19.629,0.15,positive,,
59253.321111,r,19.604,0.133,positive,,
59251.44934,r,20.052,,limit,,
59249.38981,r,19.526,,limit,,
59231.36633,r,20.389,,limit,,
59229.42507,r,19.483,,limit,,
59227.36972,r,20.227,,limit,,
59225.39184,r,19.206,0.129,positive,,
59223.447963,r,19.22,0.152,positive,,
59221.368461,r,19.208,0.116,positive,,
59219.347245,r,19.219,0.122,positive,,
59217.34434,r,19.07,0.123,positive,,
59215.40351,r,18.424,,limit,,
59206.44765,r,19.33,,limit,,
59204.428113,r,18.903,0.127,positive,,
59202.528993,r,18.836,0.133,positive,,
59199.38669,r,18.777,0.083,positive,,
59196.47184,r,18.663,0.108,positive,,
59194.471979,r,18.649,0.084,positive,,
59192.45244,r,17.537,,limit,,
59189.455116,r,18.664,0.151,positive,,
59187.468924,r,18.625,0.125,positive,,
59185.374583,r,18.521,0.084,positive,,
59183.46478,r,16.2,,limit,,
59181.471563,r,18.557,0.079,positive,,
59179.364444,r,18.385,0.114,positive,,
59176.534502,r,18.473,0.071,positive,,
59174.45837,r,19.302,,limit,,
59171.466308,r,18.361,0.071,positive,,
59169.532593,r,18.453,0.088,positive,,
59167.490949,r,18.319,0.07,positive,,
59165.427315,r,18.285,0.068,positive,,
59158.516921,r,18.251,0.087,positive,,
59156.531979,r,18.129,0.071,positive,,
59153.490208,r,18.124,0.071,positive,,
59151.449063,r,18.056,0.083,positive,,
59149.390694,r,17.942,0.074,positive,,
59145.498229,r,17.97,0.066,positive,,
59143.492153,r,17.935,0.071,positive,,
59141.487245,r,17.879,0.059,positive,,
59139.493646,r,17.838,0.052,positive,,
59137.507083,r,17.852,0.066,positive,,
59135.507732,r,17.774,0.056,positive,,
59130.47919,r,17.6,0.054,positive,,
59128.493391,r,17.588,0.078,positive,,
59126.516296,r,17.648,0.064,positive,,
59124.458634,r,17.534,0.052,positive,,
59005.24942,r,18.491,,limit,,
58999.18664,r,19.73,,limit,,
58996.24046,r,20.105,,limit,,
58986.24303,r,20.249,,limit,,
