MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
58965.28669,r,18.513,0.074,positive,,
58955.28119,r,20.293,,limit,,
58955.267755,r,18.133,0.064,positive,,
58954.258796,r,18.114,0.079,positive,,
58939.35992,r,18.392,,limit,,
58936.412882,r,17.594,0.058,positive,,
58915.403657,r,16.895,0.046,positive,,
58914.37787,r,19.901,,limit,,
58913.445336,r,16.824,0.046,positive,,
58912.44669,r,16.809,0.046,positive,,
58911.446366,r,16.721,0.039,positive,,
58908.449653,r,16.638,0.041,positive,,
58908.449653,r,16.638,0.041,positive,,
58906.445926,r,16.599,0.043,positive,,
58904.470556,r,16.497,0.028,positive,,
58901.418901,r,16.428,0.056,positive,,
58900.437523,r,16.393,0.049,positive,,
58899.441007,r,16.381,0.032,positive,,
58898.373877,r,16.301,0.035,positive,,
58895.442454,r,16.182,0.034,positive,,
58892.316887,r,16.089,0.032,positive,,
58887.515914,r,15.837,0.029,positive,,
58884.516238,r,15.63,0.027,positive,,
58881.538657,r,15.391,0.033,positive,,
58878.360509,r,15.057,0.023,positive,,
58875.521076,r,14.677,0.025,positive,,
58871.502234,r,14.17,0.035,positive,,
58867.481562,r,13.86,0.02,positive,,
58859.48125,r,14.769,0.033,positive,,
58855.542292,r,17.28,0.056,positive,,
58852.5464,r,20.522,,limit,,
58846.56703,r,20.406,,limit,,
58838.56937,r,18.441,,limit,,
58837.46214,r,19.581,,limit,,
58834.5237,r,18.894,,limit,,
