,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
4,60085.219676,g,20.799,,limit,,
6,60083.201007,g,20.697,,limit,,
7,60081.311586,g,20.607,,limit,,
9,60079.398125,g,20.235,,limit,,
10,60077.257292,g,20.688,,limit,,
12,60073.258356,g,20.299,,limit,,
14,60065.303495,g,19.612,,limit,,
17,60063.172153,g,19.985,,limit,,
18,60061.340104,g,20.43,,limit,,
20,60059.321238,g,20.544,,limit,,
22,60057.300428,g,20.749,,limit,,
25,59550.489942,g,18.644,,limit,,
26,59532.523681,g,20.414,,limit,,
30,59530.492975,g,19.412,,limit,,
31,59530.4925,g,19.662,,limit,,
38,59525.496366,g,20.441,,limit,,
41,59517.482813,g,19.759,,limit,,
57,59387.283877,g,19.024,,limit,,
64,59385.200856,g,19.588,,limit,,
65,59383.241262,g,19.21,,limit,,
68,59381.284271,g,18.397,,limit,,
71,59377.322535,g,19.974,,limit,,
90,59359.275776,g,19.293,,limit,,
154,59275.216366,g,19.538,,limit,,
160,59269.446389,g,20.144,,limit,,
166,59265.400706,g,20.872,,limit,,
219,59179.49103,g,20.49,,limit,,
221,59176.50762,g,20.453,,limit,,
225,59173.47624,g,19.54,,limit,,
229,59170.493,g,20.456,,limit,,
233,59165.51413,g,20.588,,limit,,
239,59157.52337,g,19.449,,limit,,
243,59155.51943,g,19.441,,limit,,
247,59152.54774,g,19.253,,limit,,
