,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
1,60086.197685,r,20.294,,limit,,
2,60086.170532,r,19.771,,limit,,
3,60085.239479,r,20.541,,limit,,
5,60083.217396,r,20.453,,limit,,
8,60081.267199,r,20.522,,limit,,
11,60077.215139,r,20.284,,limit,,
13,60073.193368,r,20.144,,limit,,
15,60065.211701,r,19.849,,limit,,
16,60063.251736,r,20.016,,limit,,
19,60061.213183,r,20.271,,limit,,
21,60059.233067,r,20.225,,limit,,
23,60057.177141,r,20.329,,limit,,
29,59532.448924,r,19.787,,limit,,
33,59530.475139,r,19.256,,limit,,
36,59525.516065,r,19.788,,limit,,
40,59517.546991,r,19.566,,limit,,
42,59509.531632,r,19.244,,limit,,
46,59509.521655,r,19.365,,limit,,
49,59504.52434,r,18.006,,limit,,
51,59504.519502,r,16.23,,limit,,
53,59393.200417,r,20.304,,limit,,
56,59391.263715,r,19.463,,limit,,
59,59387.200139,r,19.669,,limit,,
61,59385.226007,r,19.551,,limit,,
79,59370.264607,r,20.39,,limit,,
85,59364.309329,r,20.137,,limit,,
155,59273.450694,r,18.868,,limit,,
163,59269.33794,r,19.782,,limit,,
164,59267.320382,r,19.915,,limit,,
168,59265.371181,r,20.686,,limit,,
223,59173.52681,r,19.639,,limit,,
227,59170.55348,r,20.101,,limit,,
235,59165.47378,r,20.18,,limit,,
236,59159.49584,r,19.771,,limit,,
240,59157.49791,r,19.473,,limit,,
241,59157.49558,r,19.345,,limit,,
244,59155.49084,r,19.558,,limit,,
248,59152.49122,r,19.059,,limit,,
