,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
27,59532.523206,g,19.925,0.259,positive,,
34,59527.497465,g,19.976,0.185,positive,,
37,59525.496829,g,19.917,0.169,positive,,
39,59523.547326,g,19.874,0.219,positive,,
52,59393.289016,g,18.629,0.188,positive,,
58,59387.282465,g,18.625,0.158,positive,,
63,59385.202743,g,18.427,0.094,positive,,
66,59383.239849,g,18.489,0.13,positive,,
69,59381.281921,g,18.485,0.218,positive,,
72,59377.306794,g,18.354,0.081,positive,,
75,59373.26515,g,18.401,0.087,positive,,
78,59371.19625,g,18.359,0.093,positive,,
80,59369.2164,g,18.299,0.075,positive,,
82,59367.242789,g,18.324,0.095,positive,,
84,59365.1961,g,18.311,0.073,positive,,
86,59363.215868,g,18.27,0.07,positive,,
88,59361.259525,g,18.247,0.097,positive,,
92,59358.243484,g,18.241,0.12,positive,,
94,59356.198461,g,18.265,0.08,positive,,
96,59354.181898,g,18.215,0.07,positive,,
98,59348.264711,g,18.144,0.059,positive,,
100,59346.371319,g,18.148,0.063,positive,,
102,59344.258206,g,18.114,0.061,positive,,
104,59342.327639,g,18.136,0.064,positive,,
107,59340.217789,g,18.146,0.06,positive,,
108,59338.307801,g,18.076,0.078,positive,,
110,59335.257685,g,18.01,0.067,positive,,
112,59329.317569,g,17.976,0.11,positive,,
113,59329.317569,g,17.976,0.11,positive,,
114,59329.317569,g,17.976,0.11,positive,,
118,59325.321898,g,17.966,0.068,positive,,
121,59323.261273,g,17.955,0.061,positive,,
123,59321.255729,g,17.896,0.063,positive,,
124,59317.239468,g,17.924,0.07,positive,,
125,59317.239468,g,17.924,0.07,positive,,
129,59315.214769,g,17.865,0.058,positive,,
130,59313.245058,g,17.864,0.071,positive,,
132,59311.247222,g,17.822,0.081,positive,,
135,59309.197002,g,17.807,0.061,positive,,
136,59307.308808,g,17.802,0.056,positive,,
139,59304.237836,g,17.762,0.068,positive,,
140,59302.325393,g,17.758,0.064,positive,,
142,59300.324433,g,17.729,0.102,positive,,
144,59297.241944,g,17.675,0.064,positive,,
145,59295.277107,g,17.648,0.069,positive,,
147,59292.300428,g,17.672,0.047,positive,,
149,59290.301354,g,17.628,0.064,positive,,
151,59278.300139,g,17.497,0.063,positive,,
153,59275.222026,g,17.474,0.054,positive,,
157,59273.392998,g,17.445,0.07,positive,,
158,59271.403287,g,17.472,0.069,positive,,
161,59269.445903,g,17.457,0.045,positive,,
169,59263.35963,g,17.363,0.064,positive,,
170,59260.486493,g,17.391,0.099,positive,,
172,59256.492766,g,17.293,0.057,positive,,
173,59254.445313,g,17.254,0.063,positive,,
175,59252.49147,g,17.234,0.037,positive,,
178,59250.359062,g,17.211,0.058,positive,,
179,59248.46419,g,17.206,0.048,positive,,
181,59231.424271,g,17.026,0.049,positive,,
183,59227.443437,g,17.004,0.045,positive,,
185,59225.445069,g,16.968,0.059,positive,,
188,59223.404826,g,16.978,0.046,positive,,
189,59221.47103,g,16.931,0.056,positive,,
192,59219.442049,g,16.887,0.038,positive,,
193,59217.441875,g,16.865,0.048,positive,,
196,59215.437199,g,16.864,0.064,positive,,
197,59206.540116,g,16.824,0.124,positive,,
199,59203.529931,g,16.73,0.04,positive,,
202,59200.469074,g,16.717,0.059,positive,,
203,59198.530139,g,16.667,0.04,positive,,
205,59194.534479,g,16.655,0.044,positive,,
207,59192.533287,g,16.618,0.076,positive,,
209,59189.499988,g,16.486,0.046,positive,,
211,59187.53537,g,16.439,0.043,positive,,
214,59185.505833,g,16.303,0.039,positive,,
215,59182.559456,g,16.117,0.026,positive,,
218,59180.517894,g,16.017,0.039,positive,,
220,59177.532095,g,15.761,0.033,positive,,
224,59173.476701,g,15.417,0.037,positive,,
228,59170.494398,g,15.226,0.043,positive,,
231,59168.511053,g,15.149,0.03,positive,,
232,59165.529722,g,15.019,0.03,positive,,
238,59157.527431,g,14.806,0.03,positive,,
242,59155.519896,g,14.778,0.024,positive,,
