,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
24,59550.508102,r,19.652,0.191,positive,,
28,59532.476887,r,19.328,0.147,positive,,
32,59530.475613,r,19.346,0.317,positive,,
35,59525.517002,r,19.351,0.157,positive,,
43,59509.529132,r,18.942,0.164,positive,,
44,59509.526632,r,19.087,0.158,positive,,
45,59509.524143,r,19.283,0.184,positive,,
47,59504.529178,r,18.771,0.218,positive,,
48,59504.526759,r,19.149,0.172,positive,,
50,59504.521921,r,18.423,0.322,positive,,
54,59393.199942,r,17.459,0.053,positive,,
55,59391.282963,r,17.451,0.068,positive,,
60,59387.198727,r,17.389,0.055,positive,,
62,59385.217049,r,17.358,0.047,positive,,
67,59383.198461,r,17.347,0.043,positive,,
70,59379.215683,r,17.302,0.041,positive,,
73,59377.215232,r,17.271,0.046,positive,,
74,59375.217107,r,17.251,0.058,positive,,
76,59373.239931,r,17.237,0.047,positive,,
77,59371.218912,r,17.233,0.055,positive,,
81,59369.202951,r,17.192,0.04,positive,,
83,59367.216944,r,17.154,0.047,positive,,
87,59363.193206,r,17.149,0.043,positive,,
89,59361.218646,r,17.094,0.039,positive,,
91,59358.279664,r,17.063,0.044,positive,,
93,59356.238183,r,17.065,0.037,positive,,
95,59354.218403,r,17.032,0.046,positive,,
97,59350.263275,r,16.975,0.052,positive,,
99,59348.196227,r,16.965,0.036,positive,,
101,59346.302789,r,16.934,0.042,positive,,
103,59344.21897,r,16.922,0.039,positive,,
105,59342.27838,r,16.937,0.036,positive,,
106,59340.287604,r,16.87,0.036,positive,,
109,59338.242442,r,16.865,0.045,positive,,
111,59335.203657,r,16.828,0.055,positive,,
115,59329.253727,r,16.751,0.033,positive,,
116,59329.253727,r,16.751,0.033,positive,,
117,59329.253727,r,16.751,0.033,positive,,
119,59325.259294,r,16.731,0.035,positive,,
120,59323.321285,r,16.711,0.042,positive,,
122,59321.299988,r,16.684,0.034,positive,,
126,59317.196898,r,16.676,0.034,positive,,
127,59317.196898,r,16.676,0.034,positive,,
128,59315.267199,r,16.607,0.061,positive,,
131,59313.217407,r,16.613,0.039,positive,,
133,59311.174225,r,16.551,0.033,positive,,
134,59309.256632,r,16.537,0.036,positive,,
137,59307.234271,r,16.542,0.049,positive,,
138,59304.305185,r,16.53,0.033,positive,,
141,59302.262708,r,16.503,0.031,positive,,
143,59297.269653,r,16.442,0.034,positive,,
146,59292.359549,r,16.424,0.03,positive,,
148,59290.342442,r,16.396,0.033,positive,,
150,59278.426042,r,16.287,0.029,positive,,
152,59275.335949,r,16.262,0.035,positive,,
156,59273.45022,r,16.252,0.034,positive,,
159,59271.298634,r,16.223,0.041,positive,,
162,59269.338403,r,16.21,0.036,positive,,
165,59267.319907,r,16.2,0.03,positive,,
167,59265.371643,r,16.204,0.03,positive,,
171,59260.402813,r,16.122,0.038,positive,,
174,59254.400694,r,16.108,0.032,positive,,
176,59252.321644,r,16.066,0.036,positive,,
177,59250.38066,r,16.033,0.033,positive,,
180,59248.424317,r,16.024,0.041,positive,,
182,59229.430949,r,15.892,0.036,positive,,
184,59227.381771,r,15.873,0.031,positive,,
186,59225.410718,r,15.84,0.029,positive,,
187,59223.471794,r,15.84,0.031,positive,,
190,59221.453241,r,15.811,0.03,positive,,
191,59219.474086,r,15.799,0.025,positive,,
194,59217.395752,r,15.799,0.024,positive,,
195,59215.477234,r,15.758,0.027,positive,,
198,59206.486655,r,15.674,0.038,positive,,
200,59203.496285,r,15.654,0.025,positive,,
201,59200.515486,r,15.617,0.03,positive,,
204,59198.462974,r,15.588,0.029,positive,,
206,59194.497095,r,15.547,0.028,positive,,
208,59192.494016,r,15.527,0.034,positive,,
210,59189.477014,r,15.416,0.027,positive,,
212,59187.497315,r,15.357,0.025,positive,,
213,59185.529815,r,15.248,0.034,positive,,
216,59182.496944,r,15.095,0.025,positive,,
217,59180.547002,r,14.965,0.023,positive,,
222,59175.51419,r,14.665,0.027,positive,,
226,59170.55441,r,14.445,0.02,positive,,
230,59168.536296,r,14.383,0.022,positive,,
234,59165.475185,r,14.299,0.024,positive,,
237,59159.493507,r,14.213,0.022,positive,,
245,59155.489444,r,14.176,0.029,positive,,
246,59153.493183,r,14.173,0.025,positive,,
