,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
2,59402.457222,g,20.24,,limit,,
4,59400.414977,g,20.308,,limit,,
5,59397.459329,g,20.105,,limit,,
7,59392.453137,g,19.038,,limit,,
9,59390.445324,g,19.38,,limit,,
11,59385.43581,g,20.349,,limit,,
13,59382.437187,g,20.283,,limit,,
14,59380.424792,g,17.197,,limit,,
54,59171.16971,g,20.493,,limit,,
61,59158.19313,g,19.929,,limit,,
62,59156.2215,g,19.528,,limit,,
64,59154.30488,g,19.131,,limit,,
66,59152.26884,g,19.158,,limit,,
69,59145.27398,g,20.853,,limit,,
72,59141.29703,g,20.672,,limit,,
75,59139.22074,g,20.693,,limit,,
76,59137.23178,g,20.287,,limit,,
79,59134.24896,g,20.459,,limit,,
