,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
3,59400.454514,r,20.41,,limit,,
6,59397.400428,r,20.006,,limit,,
10,59390.379792,r,19.324,,limit,,
31,59202.10812,r,20.132,,limit,,
60,59158.22564,r,19.793,,limit,,
63,59156.19619,r,19.664,,limit,,
65,59154.17006,r,19.681,,limit,,
67,59152.20807,r,19.457,,limit,,
68,59147.28992,r,17.271,,limit,,
70,59145.1819,r,20.353,,limit,,
71,59143.21424,r,20.685,,limit,,
73,59141.17451,r,20.375,,limit,,
74,59139.25295,r,20.482,,limit,,
77,59137.19041,r,20.512,,limit,,
78,59134.29594,r,20.223,,limit,,
