,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
15,59378.427211,g,19.599,0.142,positive,,
19,59225.109178,g,17.221,0.036,positive,,
20,59223.128148,g,17.166,0.044,positive,,
21,59221.163819,g,17.193,0.037,positive,,
24,59219.107072,g,17.127,0.033,positive,,
25,59215.087662,g,17.084,0.039,positive,,
27,59210.177512,g,16.987,0.052,positive,,
29,59206.108021,g,16.84,0.115,positive,,
30,59202.149225,g,16.797,0.033,positive,,
32,59199.192384,g,16.618,0.039,positive,,
35,59192.170243,g,16.17,0.041,positive,,
37,59189.13309,g,15.843,0.022,positive,,
39,59187.124387,g,15.647,0.029,positive,,
42,59185.107188,g,15.433,0.024,positive,,
43,59185.107188,g,15.433,0.024,positive,,
44,59183.130127,g,15.317,0.02,positive,,
46,59181.148553,g,15.207,0.022,positive,,
48,59179.148935,g,15.16,0.036,positive,,
52,59173.169398,g,15.556,0.027,positive,,
55,59169.267396,g,16.293,0.027,positive,,
58,59164.232685,g,18.299,0.103,positive,,
