,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
0,59406.463843,r,19.354,0.135,positive,,
1,59404.444688,r,19.526,0.145,positive,,
8,59392.428808,r,18.862,0.161,positive,,
12,59382.456782,r,19.317,0.105,positive,,
16,59376.445012,r,19.086,0.123,positive,,
17,59229.10963,r,16.669,0.041,positive,,
18,59227.12919,r,16.616,0.037,positive,,
22,59221.106829,r,16.545,0.179,positive,,
23,59219.127639,r,16.438,0.03,positive,,
26,59215.082176,r,16.326,0.031,positive,,
28,59210.107049,r,16.186,0.027,positive,,
33,59197.149769,r,15.56,0.038,positive,,
34,59194.249606,r,15.431,0.026,positive,,
36,59189.195949,r,15.124,0.033,positive,,
38,59187.148218,r,15.048,0.025,positive,,
40,59185.127164,r,15.017,0.031,positive,,
41,59185.127164,r,15.017,0.031,positive,,
45,59183.091563,r,14.961,0.021,positive,,
47,59181.107396,r,14.954,0.017,positive,,
49,59179.107859,r,14.964,0.029,positive,,
50,59175.162986,r,15.167,0.039,positive,,
51,59173.219722,r,15.405,0.023,positive,,
53,59171.191898,r,15.674,0.025,positive,,
56,59169.16912,r,16.07,0.034,positive,,
57,59167.208414,r,16.65,0.04,positive,,
59,59164.17294,r,17.761,0.07,positive,,
