,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
16,59530.455405,r,18.954,,limit,,
23,59521.475405,r,19.944,,limit,,
24,59512.51169,r,19.386,,limit,,
25,59504.528715,r,19.788,,limit,,
26,59504.526285,r,19.588,,limit,,
27,59504.523866,r,17.917,,limit,,
28,59504.521447,r,17.989,,limit,,
29,59504.519028,r,18.489,,limit,,
30,59503.528889,r,19.418,,limit,,
31,59503.526389,r,19.513,,limit,,
32,59503.523901,r,19.417,,limit,,
33,59503.521401,r,19.458,,limit,,
34,59503.518912,r,19.271,,limit,,
35,59502.526157,r,19.111,,limit,,
36,59502.523657,r,19.189,,limit,,
37,59502.521169,r,19.193,,limit,,
38,59502.518669,r,19.244,,limit,,
39,59502.516181,r,19.403,,limit,,
40,59501.525532,r,19.813,,limit,,
41,59501.522963,r,19.836,,limit,,
42,59501.520382,r,19.755,,limit,,
43,59501.517812,r,19.706,,limit,,
44,59501.515243,r,19.594,,limit,,
45,59500.526308,r,19.764,,limit,,
46,59500.523727,r,19.558,,limit,,
47,59500.521146,r,19.537,,limit,,
48,59500.518565,r,19.632,,limit,,
49,59500.515961,r,19.711,,limit,,
