,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
0,59641.300474,r,17.992,0.059,positive,,
2,59639.267303,r,17.872,0.055,positive,,
4,59636.413125,r,17.797,0.066,positive,,
5,59628.40544,r,17.583,0.059,positive,,
7,59625.280486,r,17.457,0.065,positive,,
9,59623.352604,r,17.39,0.054,positive,,
11,59550.539838,r,16.344,0.039,positive,,
14,59532.447974,r,16.922,0.052,positive,,
18,59525.517951,r,17.918,0.053,positive,,
21,59523.505613,r,18.701,0.141,positive,,
