,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
2,59309.309155,g,20.403,,limit,,
4,59307.297234,g,20.51,,limit,,
6,59305.27713,g,18.516,,limit,,
7,59303.3589,g,18.987,,limit,,
9,59298.33375,g,19.149,,limit,,
21,59272.406678,g,18.781,,limit,,
22,59271.398484,g,18.904,,limit,,
23,59270.400382,g,19.422,,limit,,
25,59269.43566,g,19.823,,limit,,
31,59265.41875,g,20.408,,limit,,
44,59234.44922,g,19.595,,limit,,
46,59231.45869,g,20.661,,limit,,
47,59229.46737,g,19.494,,limit,,
49,59227.46226,g,20.174,,limit,,
52,59225.46502,g,19.888,,limit,,
54,59223.39969,g,19.91,,limit,,
55,59221.4734,g,19.152,,limit,,
