,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
1,59311.233507,g,20.692,0.275,positive,,
11,59293.294838,g,19.996,0.165,positive,,
14,59291.28912,g,20.109,0.196,positive,,
17,59278.316667,g,19.697,0.16,positive,,
18,59275.443368,g,19.614,0.236,positive,,
27,59268.436042,g,19.672,0.188,positive,,
34,59262.41684,g,19.345,0.275,positive,,
36,59257.379051,g,18.497,0.111,positive,,
38,59255.377894,g,18.524,0.066,positive,,
40,59253.379039,g,18.185,0.067,positive,,
42,59249.436389,g,18.322,0.129,positive,,
