,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
0,59311.312269,r,20.206,0.204,positive,,
3,59309.277326,r,20.303,0.216,positive,,
5,59307.253958,r,20.344,0.247,positive,,
8,59298.378507,r,19.732,0.294,positive,,
10,59296.357743,r,19.653,0.213,positive,,
12,59293.253831,r,19.548,0.116,positive,,
13,59291.350417,r,19.437,0.105,positive,,
15,59281.287836,r,19.242,0.113,positive,,
16,59278.424537,r,19.157,0.127,positive,,
19,59275.383276,r,19.536,0.29,positive,,
28,59268.351586,r,19.21,0.12,positive,,
29,59267.418206,r,19.13,0.142,positive,,
32,59265.37353,r,19.192,0.122,positive,,
33,59264.373391,r,19.134,0.094,positive,,
35,59262.361146,r,18.983,0.096,positive,,
37,59255.41603,r,18.342,0.063,positive,,
39,59253.487025,r,18.093,0.054,positive,,
41,59251.461863,r,18.196,0.061,positive,,
43,59249.41294,r,18.291,0.096,positive,,
