,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
1,59696.206505,g,20.692,,limit,,
2,59694.361285,g,19.944,,limit,,
3,59690.279352,g,20.613,,limit,,
6,59688.187581,g,20.644,,limit,,
7,59685.331482,g,19.272,,limit,,
10,59683.287512,g,19.3,,limit,,
15,59676.325278,g,20.216,,limit,,
16,59674.388565,g,20.33,,limit,,
18,59671.422917,g,20.594,,limit,,
24,59629.416192,g,19.553,,limit,,
26,59627.454213,g,18.916,,limit,,
29,59624.268692,g,19.657,,limit,,
30,59622.506192,g,20.285,,limit,,
33,59538.38625,g,19.158,,limit,,
37,59530.431343,g,19.529,,limit,,
47,59509.506852,g,19.536,,limit,,
51,59500.468912,g,19.86,,limit,,
81,59336.215243,g,20.767,,limit,,
117,59291.275972,g,20.509,,limit,,
121,59278.269329,g,20.413,,limit,,
123,59274.197014,g,18.996,,limit,,
124,59272.388866,g,19.109,,limit,,
127,59270.286678,g,19.425,,limit,,
129,59268.216065,g,19.857,,limit,,
131,59266.309954,g,19.946,,limit,,
132,59264.346782,g,20.847,,limit,,
