,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
4,59690.240104,r,20.336,,limit,,
5,59688.342951,r,19.431,,limit,,
8,59685.239456,r,19.906,,limit,,
9,59683.361875,r,19.641,,limit,,
11,59680.237025,r,19.676,,limit,,
13,59678.245255,r,20.391,,limit,,
14,59676.348102,r,20.099,,limit,,
27,59627.353484,r,19.048,,limit,,
36,59530.471829,r,19.743,,limit,,
59,59358.214757,r,19.28,,limit,,
60,59355.220382,r,19.649,,limit,,
118,59291.246424,r,20.707,,limit,,
119,59281.234398,r,19.983,,limit,,
120,59278.288657,r,20.525,,limit,,
122,59274.384259,r,19.328,,limit,,
125,59272.276169,r,19.256,,limit,,
126,59270.317697,r,19.6,,limit,,
128,59268.320463,r,20.051,,limit,,
130,59266.326134,r,19.738,,limit,,
133,59264.29978,r,20.505,,limit,,
