,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
12,59678.325833,g,20.191,0.33,positive,,
21,59638.410231,g,20.162,0.179,positive,,
23,59636.240937,g,20.424,0.255,positive,,
34,59532.512662,g,19.759,0.129,positive,,
38,59527.491238,g,19.82,0.128,positive,,
40,59525.494861,g,19.733,0.137,positive,,
41,59523.534271,g,19.841,0.133,positive,,
43,59521.513484,g,19.843,0.142,positive,,
46,59517.487188,g,19.752,0.135,positive,,
49,59503.485741,g,19.643,0.175,positive,,
52,59367.259907,g,16.414,0.04,positive,,
54,59365.199433,g,16.43,0.033,positive,,
55,59363.221539,g,16.42,0.03,positive,,
57,59361.282199,g,16.384,0.041,positive,,
61,59353.212454,g,16.341,0.025,positive,,
64,59350.183229,g,16.321,0.026,positive,,
65,59348.240208,g,16.331,0.041,positive,,
67,59346.323565,g,16.271,0.037,positive,,
69,59344.282593,g,16.28,0.04,positive,,
72,59342.242662,g,16.329,0.027,positive,,
74,59340.200671,g,16.307,0.034,positive,,
76,59338.201192,g,16.29,0.031,positive,,
80,59336.215243,g,16.268,0.024,positive,,
83,59334.203958,g,16.264,0.034,positive,,
84,59328.219653,g,16.215,0.026,positive,,
89,59324.164572,g,16.195,0.031,positive,,
90,59324.164572,g,16.195,0.031,positive,,
91,59324.164572,g,16.195,0.031,positive,,
93,59322.186227,g,16.136,0.037,positive,,
94,59319.266331,g,16.115,0.027,positive,,
96,59316.323264,g,16.086,0.032,positive,,
99,59314.242002,g,16.029,0.026,positive,,
101,59312.240498,g,15.967,0.03,positive,,
103,59310.243426,g,15.936,0.026,positive,,
104,59308.263495,g,15.883,0.028,positive,,
106,59306.299468,g,15.877,0.036,positive,,
108,59304.191979,g,15.807,0.026,positive,,
111,59302.1611,g,15.757,0.028,positive,,
114,59296.326979,g,15.739,0.027,positive,,
115,59293.302558,g,16.005,0.028,positive,,
