,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
0,59696.238715,r,20.077,0.185,positive,,
17,59674.32838,r,20.111,0.191,positive,,
19,59671.346748,r,20.022,0.174,positive,,
20,59671.346748,r,19.965,0.181,positive,,
22,59638.391678,r,19.665,0.156,positive,,
25,59629.346505,r,19.572,0.18,positive,,
28,59624.363854,r,19.67,0.197,positive,,
31,59622.37353,r,19.704,0.183,positive,,
32,59550.38713,r,18.829,0.081,positive,,
35,59532.393264,r,18.595,0.078,positive,,
39,59525.512199,r,18.616,0.069,positive,,
42,59523.485776,r,18.531,0.076,positive,,
44,59521.472014,r,18.532,0.066,positive,,
45,59517.518414,r,18.438,0.057,positive,,
48,59509.473067,r,18.396,0.085,positive,,
50,59500.493287,r,18.231,0.062,positive,,
53,59367.203565,r,15.718,0.033,positive,,
56,59363.196516,r,15.686,0.03,positive,,
58,59361.206377,r,15.667,0.028,positive,,
62,59353.196227,r,15.716,0.029,positive,,
63,59350.236991,r,15.653,0.021,positive,,
66,59348.182778,r,15.679,0.036,positive,,
68,59346.28434,r,15.703,0.027,positive,,
70,59344.202523,r,15.675,0.037,positive,,
71,59342.260787,r,15.679,0.028,positive,,
73,59340.279063,r,15.694,0.034,positive,,
75,59338.243877,r,15.713,0.03,positive,,
77,59336.305822,r,15.675,0.031,positive,,
78,59336.305822,r,15.675,0.031,positive,,
79,59336.305822,r,15.675,0.031,positive,,
82,59334.280729,r,15.698,0.032,positive,,
85,59328.18441,r,15.705,0.029,positive,,
86,59324.217384,r,15.702,0.033,positive,,
87,59324.217384,r,15.702,0.033,positive,,
88,59324.217384,r,15.702,0.033,positive,,
92,59322.267975,r,15.717,0.025,positive,,
95,59319.217812,r,15.689,0.022,positive,,
97,59316.285405,r,15.705,0.026,positive,,
98,59314.263345,r,15.708,0.028,positive,,
100,59312.282222,r,15.727,0.029,positive,,
102,59310.320648,r,15.676,0.035,positive,,
105,59308.225046,r,15.667,0.028,positive,,
107,59306.254294,r,15.696,0.03,positive,,
109,59304.182743,r,15.692,0.028,positive,,
110,59302.217153,r,15.686,0.031,positive,,
112,59298.299225,r,15.755,0.036,positive,,
113,59296.362535,r,15.831,0.024,positive,,
116,59293.242107,r,16.314,0.026,positive,,
