,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
1,59362.183125,g,21.027,0.329,positive,,
7,59350.20772,g,20.39,0.255,positive,,
10,59344.255868,g,20.308,0.238,positive,,
13,59342.234583,g,20.166,0.201,positive,,
16,59338.310741,g,20.07,0.213,positive,,
18,59335.254375,g,19.98,0.229,positive,,
23,59323.280266,g,19.484,0.134,positive,,
25,59321.253276,g,19.476,0.111,positive,,
31,59313.255174,g,18.52,0.075,positive,,
33,59311.233981,g,18.137,0.077,positive,,
34,59309.311042,g,17.84,0.048,positive,,
36,59307.311632,g,17.615,0.041,positive,,
39,59304.257928,g,17.579,0.069,positive,,
40,59302.354259,g,17.703,0.071,positive,,
42,59298.394757,g,18.32,0.1,positive,,
45,59296.354294,g,18.133,0.075,positive,,
46,59293.294363,g,17.765,0.054,positive,,
