,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
0,59362.23353,r,19.942,0.195,positive,,
3,59359.191655,r,19.872,0.301,positive,,
6,59353.19228,r,19.562,0.125,positive,,
8,59348.193426,r,19.428,0.131,positive,,
9,59346.312755,r,19.358,0.106,positive,,
11,59344.226019,r,19.233,0.077,positive,,
12,59342.276481,r,19.185,0.092,positive,,
14,59340.232049,r,19.092,0.109,positive,,
17,59338.233889,r,18.937,0.085,positive,,
19,59335.207222,r,18.781,0.112,positive,,
21,59325.255463,r,18.385,0.079,positive,,
22,59323.317454,r,18.244,0.061,positive,,
24,59321.290833,r,18.135,0.054,positive,,
26,59317.207813,r,17.836,0.053,positive,,
27,59317.207813,r,17.836,0.053,positive,,
29,59315.253009,r,17.48,0.267,positive,,
30,59313.295579,r,17.454,0.053,positive,,
32,59311.308947,r,17.3,0.039,positive,,
35,59309.270197,r,17.139,0.034,positive,,
37,59307.253495,r,17.1,0.037,positive,,
38,59304.302338,r,17.157,0.042,positive,,
41,59302.255567,r,17.351,0.057,positive,,
44,59296.359178,r,17.923,0.054,positive,,
47,59293.235347,r,18.202,0.06,positive,,
