,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
3,59340.214028,g,20.552,,limit,,
4,59338.206771,g,20.469,,limit,,
5,59335.234444,g,20.247,,limit,,
6,59329.31191,g,18.826,,limit,,
9,59325.228461,g,20.184,,limit,,
10,59323.257859,g,19.988,,limit,,
12,59320.174653,g,20.676,,limit,,
13,59317.235683,g,20.846,,limit,,
16,59315.212893,g,20.61,,limit,,
18,59311.232106,g,20.148,,limit,,
21,59307.277269,g,20.788,,limit,,
24,59304.234965,g,19.472,,limit,,
25,59302.332512,g,18.986,,limit,,
28,59297.206458,g,19.359,,limit,,
29,59295.274757,g,19.771,,limit,,
