,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
1,59342.256053,r,20.363,,limit,,
7,59329.234363,r,19.201,,limit,,
14,59317.193611,r,20.593,,limit,,
15,59315.250046,r,18.742,,limit,,
17,59313.213634,r,20.263,,limit,,
19,59311.170937,r,19.583,,limit,,
20,59309.234433,r,20.127,,limit,,
22,59307.25537,r,20.346,,limit,,
23,59304.307199,r,19.568,,limit,,
26,59302.26463,r,19.043,,limit,,
27,59297.257639,r,19.596,,limit,,
30,59295.263704,r,19.753,,limit,,
