,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
16,59627.169606,g,18.982,0.244,positive,,
18,59625.171806,g,19.037,0.204,positive,,
22,59540.356169,g,18.075,0.116,positive,,
23,59537.273009,g,17.879,0.17,positive,,
25,59532.273553,g,17.877,0.075,positive,,
26,59530.287616,g,17.907,0.07,positive,,
28,59527.310833,g,17.912,0.093,positive,,
30,59523.330521,g,17.706,0.051,positive,,
32,59521.314456,g,17.606,0.058,positive,,
33,59518.33684,g,17.401,0.056,positive,,
36,59503.334236,g,16.462,0.039,positive,,
41,59489.37625,g,16.007,0.034,positive,,
42,59489.37625,g,16.007,0.034,positive,,
44,59484.400301,g,15.91,0.045,positive,,
46,59479.353009,g,15.866,0.032,positive,,
48,59477.356157,g,15.817,0.036,positive,,
50,59474.424375,g,15.819,0.037,positive,,
51,59472.439514,g,15.811,0.032,positive,,
53,59470.381921,g,15.728,0.042,positive,,
54,59468.439792,g,15.756,0.038,positive,,
56,59466.439687,g,15.724,0.039,positive,,
58,59464.461678,g,15.733,0.035,positive,,
59,59464.461678,g,15.733,0.035,positive,,
62,59462.466354,g,15.723,0.035,positive,,
64,59460.443171,g,15.696,0.037,positive,,
65,59456.481308,g,15.677,0.039,positive,,
68,59453.45463,g,15.702,0.029,positive,,
70,59449.460162,g,15.677,0.04,positive,,
71,59444.442963,g,15.66,0.032,positive,,
74,59439.443322,g,15.621,0.045,positive,,
