,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
0,59829.460347,r,20.311,0.209,positive,,
4,59821.481192,r,20.288,0.269,positive,,
7,59818.441944,r,20.119,0.207,positive,,
15,59629.166794,r,17.762,0.054,positive,,
17,59627.150694,r,17.721,0.064,positive,,
19,59625.13044,r,17.718,0.069,positive,,
21,59623.131586,r,17.67,0.068,positive,,
24,59532.357535,r,16.615,0.032,positive,,
27,59527.336887,r,16.513,0.033,positive,,
29,59525.298634,r,16.466,0.034,positive,,
31,59521.356667,r,16.278,0.031,positive,,
34,59518.319502,r,16.091,0.035,positive,,
35,59509.266898,r,15.563,0.031,positive,,
39,59489.418518,r,15.102,0.027,positive,,
40,59489.418518,r,15.102,0.027,positive,,
43,59487.377801,r,15.115,0.028,positive,,
45,59479.398518,r,15.049,0.03,positive,,
47,59477.400937,r,15.021,0.024,positive,,
49,59474.461238,r,15.0,0.03,positive,,
52,59472.375776,r,15.011,0.026,positive,,
55,59468.380741,r,14.999,0.03,positive,,
57,59466.380903,r,14.989,0.024,positive,,
60,59464.405151,r,14.986,0.031,positive,,
61,59464.405151,r,14.986,0.031,positive,,
63,59460.460139,r,15.052,0.021,positive,,
66,59456.441574,r,15.02,0.03,positive,,
67,59453.480891,r,15.039,0.029,positive,,
69,59451.475775,r,15.043,0.028,positive,,
72,59442.457002,r,15.053,0.034,positive,,
73,59439.479213,r,15.063,0.024,positive,,
