,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
2,59463.223808,g,20.548,,limit,,
4,59461.217188,g,20.419,,limit,,
5,59459.287512,g,20.586,,limit,,
9,59453.228773,g,20.406,,limit,,
10,59450.415972,g,18.77,,limit,,
12,59447.315162,g,19.129,,limit,,
14,59441.281539,g,19.79,,limit,,
16,59439.354387,g,20.159,,limit,,
23,59427.308889,g,20.634,,limit,,
27,59418.427107,g,19.153,,limit,,
47,59400.385405,g,20.58,,limit,,
48,59397.425544,g,20.277,,limit,,
50,59395.39059,g,19.846,,limit,,
52,59393.347477,g,19.746,,limit,,
53,59391.4275,g,19.588,,limit,,
56,59387.372419,g,19.698,,limit,,
57,59385.406944,g,20.484,,limit,,
59,59382.426817,g,20.308,,limit,,
61,59380.429965,g,18.396,,limit,,
64,59378.368461,g,20.595,,limit,,
66,59376.388542,g,20.612,,limit,,
68,59374.388727,g,20.478,,limit,,
