,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
8,59453.269514,r,20.362,,limit,,
42,59406.35037,r,18.5,,limit,,
46,59400.428808,r,20.183,,limit,,
49,59397.381944,r,20.406,,limit,,
51,59393.441817,r,20.113,,limit,,
54,59391.324757,r,19.863,,limit,,
55,59387.432373,r,20.253,,limit,,
58,59385.365706,r,20.02,,limit,,
60,59382.343148,r,20.128,,limit,,
62,59380.38662,r,18.825,,limit,,
63,59378.386806,r,20.582,,limit,,
65,59376.426389,r,20.221,,limit,,
67,59374.448785,r,19.967,,limit,,
