,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
18,59436.346412,g,20.696,0.267,positive,,
19,59434.264919,g,20.779,0.274,positive,,
21,59429.324572,g,20.369,0.18,positive,,
25,59424.293113,g,19.848,0.16,positive,,
29,59415.427847,g,18.933,0.086,positive,,
30,59415.427847,g,18.933,0.086,positive,,
31,59415.427847,g,18.933,0.086,positive,,
36,59412.345058,g,18.941,0.128,positive,,
38,59410.365567,g,19.05,0.112,positive,,
40,59408.366782,g,18.795,0.089,positive,,
41,59406.380197,g,18.799,0.095,positive,,
43,59404.390185,g,18.881,0.077,positive,,
45,59402.351632,g,18.585,0.075,positive,,
