,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
0,59465.205475,r,19.59,0.133,positive,,
1,59463.283356,r,19.635,0.142,positive,,
3,59461.307083,r,19.606,0.118,positive,,
6,59459.249398,r,19.455,0.091,positive,,
7,59455.269248,r,19.386,0.126,positive,,
11,59450.319074,r,18.999,0.183,positive,,
13,59447.284375,r,19.306,0.152,positive,,
15,59439.373507,r,18.774,0.102,positive,,
17,59436.363843,r,18.649,0.08,positive,,
20,59429.365035,r,18.252,0.065,positive,,
22,59427.345451,r,18.098,0.056,positive,,
24,59424.320845,r,17.838,0.052,positive,,
26,59422.400729,r,17.666,0.051,positive,,
28,59418.38272,r,17.478,0.061,positive,,
32,59415.389213,r,17.403,0.052,positive,,
33,59415.389213,r,17.403,0.052,positive,,
34,59415.389213,r,17.403,0.052,positive,,
35,59412.401863,r,17.527,0.05,positive,,
37,59410.403912,r,17.562,0.05,positive,,
39,59408.426354,r,17.628,0.046,positive,,
44,59402.398738,r,18.013,0.063,positive,,
