,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
4,59913.314838,g,19.856,,limit,,
11,59904.284734,g,19.711,,limit,,
12,59903.35706,g,19.698,,limit,,
18,59900.292789,g,19.21,,limit,,
20,59899.272488,g,19.55,,limit,,
26,59893.40037,g,18.739,,limit,,
27,59888.424282,g,17.311,,limit,,
29,59887.356169,g,19.272,,limit,,
30,59882.377187,g,18.777,,limit,,
37,59873.397269,g,19.078,,limit,,
40,59866.440984,g,19.46,,limit,,
44,59862.396377,g,18.901,,limit,,
49,59854.397396,g,20.412,,limit,,
74,59527.311296,g,15.926,,limit,,
86,59498.398357,g,20.123,,limit,,
