,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
9,59906.271632,g,20.159,0.321,positive,,
15,59901.308831,g,20.082,0.239,positive,,
22,59898.308171,g,19.917,0.271,positive,,
24,59895.314792,g,19.766,0.301,positive,,
32,59880.369051,g,20.029,0.22,positive,,
33,59878.364607,g,20.052,0.299,positive,,
35,59876.419074,g,19.718,0.279,positive,,
42,59864.410151,g,19.472,0.307,positive,,
45,59860.461157,g,19.526,0.259,positive,,
46,59858.43919,g,19.648,0.137,positive,,
47,59856.422234,g,19.584,0.164,positive,,
51,59852.419005,g,19.581,0.166,positive,,
53,59850.422917,g,19.639,0.166,positive,,
55,59848.419167,g,19.57,0.164,positive,,
56,59846.481562,g,19.571,0.141,positive,,
59,59841.458067,g,19.524,0.146,positive,,
60,59839.466088,g,19.492,0.172,positive,,
61,59839.441111,g,19.437,0.158,positive,,
64,59623.151343,g,17.588,0.057,positive,,
66,59542.289155,g,15.304,0.024,positive,,
67,59538.323808,g,15.265,0.021,positive,,
70,59537.273484,g,15.238,0.029,positive,,
71,59532.294201,g,15.223,0.028,positive,,
72,59530.292963,g,15.206,0.023,positive,,
77,59524.33272,g,15.171,0.032,positive,,
78,59523.331933,g,15.164,0.035,positive,,
80,59521.313032,g,15.128,0.036,positive,,
81,59517.457708,g,15.11,0.029,positive,,
84,59504.418079,g,14.97,0.03,positive,,
85,59503.439769,g,14.95,0.027,positive,,
89,59496.376771,g,14.779,0.024,positive,,
90,59488.399676,g,14.595,0.025,positive,,
91,59485.460833,g,14.517,0.037,positive,,
93,59483.430463,g,14.505,0.022,positive,,
96,59477.462025,g,14.407,0.019,positive,,
98,59474.438704,g,14.369,0.027,positive,,
99,59471.48125,g,14.42,0.023,positive,,
101,59469.481852,g,14.47,0.023,positive,,
102,59467.45941,g,14.585,0.025,positive,,
