,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
0,59930.272639,r,19.724,0.208,positive,,
1,59924.292072,r,19.437,0.201,positive,,
3,59914.249722,r,19.562,0.155,positive,,
5,59913.267928,r,19.494,0.186,positive,,
6,59910.258796,r,19.459,0.155,positive,,
7,59909.251377,r,19.483,0.155,positive,,
8,59906.293357,r,19.443,0.156,positive,,
10,59904.336586,r,19.5,0.171,positive,,
13,59903.315648,r,19.603,0.152,positive,,
16,59901.28772,r,19.508,0.139,positive,,
21,59898.332014,r,19.396,0.168,positive,,
23,59897.309745,r,19.385,0.161,positive,,
25,59895.312454,r,19.375,0.244,positive,,
31,59882.355463,r,19.17,0.185,positive,,
34,59878.336343,r,18.977,0.115,positive,,
36,59876.376551,r,19.145,0.181,positive,,
38,59871.399028,r,19.037,0.198,positive,,
41,59866.375671,r,18.936,0.125,positive,,
43,59862.442616,r,19.117,0.2,positive,,
50,59852.483866,r,18.714,0.085,positive,,
52,59850.48235,r,18.601,0.092,positive,,
54,59848.460706,r,18.587,0.078,positive,,
57,59846.440058,r,18.603,0.096,positive,,
58,59843.439815,r,18.524,0.09,positive,,
62,59627.150208,r,16.198,0.035,positive,,
63,59625.129954,r,16.171,0.034,positive,,
65,59623.132072,r,16.167,0.033,positive,,
68,59538.272488,r,14.606,0.022,positive,,
69,59537.334595,r,14.578,0.025,positive,,
73,59527.336412,r,14.547,0.022,positive,,
76,59524.357315,r,14.548,0.031,positive,,
79,59521.357141,r,14.522,0.03,positive,,
83,59504.462974,r,14.46,0.029,positive,,
87,59498.376053,r,14.401,0.034,positive,,
88,59496.412616,r,14.302,0.016,positive,,
92,59485.41809,r,14.312,0.032,positive,,
94,59479.438576,r,14.382,0.021,positive,,
95,59477.482095,r,14.39,0.03,positive,,
97,59474.461713,r,14.35,0.029,positive,,
100,59471.459954,r,14.444,0.024,positive,,
