MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
60017.214468,g,17.262,0.072,positive,,
60013.297199,g,17.208,0.065,positive,,
59965.360833,g,16.705,0.053,positive,,
59936.445289,g,15.944,0.047,positive,,
59934.523241,g,15.903,0.038,positive,,
59928.525613,g,15.677,0.041,positive,,
59922.425093,g,15.445,0.03,positive,,
59913.352002,g,15.259,0.027,positive,,
59909.464919,g,15.094,0.034,positive,,
59902.443993,g,14.961,0.032,positive,,
59900.484803,g,15.085,0.023,positive,,
59897.482523,g,15.476,0.028,positive,,
59893.426632,g,19.041,,limit,,
59881.465856,g,20.327,,limit,,
59878.455914,g,20.004,,limit,,
59876.508414,g,19.711,,limit,,
59867.46287,g,19.082,,limit,,
