,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
1,60288.31419,g,19.715,,limit,6.7,6.2
3,60285.230127,g,20.332,,limit,8.7,3.3
5,60261.313843,g,20.361,,limit,15.7,3.3
7,60259.356586,g,20.021,,limit,18.0,4.6
9,60257.374514,g,19.828,,limit,15.3,5.1
12,60253.238773,g,20.007,,limit,15.0,4.5
14,60251.336505,g,19.863,,limit,17.3,5.4
16,60249.355752,g,19.142,,limit,25.1,9.6
17,60246.372755,g,18.598,,limit,16.0,16.7
20,60239.442303,g,20.266,,limit,16.2,3.5
22,60237.433854,g,20.163,,limit,16.7,3.9
25,60235.376401,g,20.428,,limit,13.7,3.1
27,60233.376817,g,20.354,,limit,19.8,3.5
30,60228.394236,g,20.302,,limit,22.7,3.7
34,60223.400903,g,19.891,,limit,23.0,5.1
35,60221.403414,g,18.955,,limit,,
37,60216.476238,g,18.902,,limit,21.5,11.8
39,60214.431088,g,19.459,,limit,26.2,7.8
53,60195.408738,g,19.786,,limit,,
55,60192.383518,g,19.466,,limit,,
56,60187.479861,g,18.978,,limit,,
63,60178.457338,g,20.277,,limit,,
66,60170.448067,g,17.539,,limit,,
81,59967.169676,g,19.183,,limit,,
96,59913.315787,g,19.94,,limit,,
98,59910.223657,g,20.163,,limit,,
101,59905.275648,g,16.497,,limit,,
103,59901.309306,g,20.164,,limit,,
105,59900.289271,g,19.43,,limit,,
107,59898.30912,g,19.766,,limit,,
109,59897.253657,g,19.649,,limit,,
111,59895.29066,g,19.432,,limit,,
112,59893.400833,g,18.754,,limit,,
