,MJD,filter,unforced_mag,unforced_mag_error,unforced_mag_status,forced_ujy,forced_ujy_error
2,60288.212627,r,19.583,,limit,12.8,7.1
10,60257.288993,r,19.03,,limit,,
11,60253.306273,r,20.241,,limit,33.5,3.7
15,60249.403924,r,18.212,,limit,,
18,60246.334421,r,18.841,,limit,49.9,13.6
19,60244.294201,r,19.3,,limit,32.0,9.4
28,60231.398009,r,20.174,,limit,38.4,4.2
33,60223.476134,r,19.667,,limit,38.0,6.4
51,60198.43897,r,20.177,,limit,,
52,60195.480278,r,20.193,,limit,,
86,59953.22213,r,16.288,,limit,,
97,59910.259271,r,19.845,,limit,,
99,59908.221632,r,19.398,,limit,,
100,59905.315035,r,17.9,,limit,,
102,59903.32331,r,19.631,,limit,,
104,59901.286308,r,20.225,,limit,,
106,59898.33059,r,20.094,,limit,,
108,59897.309282,r,19.755,,limit,,
110,59895.299873,r,19.652,,limit,,
